model_version,source,interval_prob,Year,analyte,treatment,n_events,load_mean,load_low,load_high,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high
v1p7p5,Observed,0.95,2011,OP,ST,5,19.065763699999998,3.595016155000002,43.77823214,123379.26,52866.49,194526.29,0.15452972971308143,0.04324972178460161,0.3616686892421137
v1p7p5,Observed,0.95,2012,OP,CT,8,22.802293,11.614263000000001,35.38983299999999,96259,72451.9,120178,0.23688478999366291,0.14587236832639888,0.3263024783191573
v1p7p5,Observed,0.95,2012,OP,MT,7,40.323485,14.237101225000007,81.15296477499997,145992,113598.125,182345.85,0.2762033878568689,0.09717739674665406,0.4830484783276527
v1p7p5,Observed,0.95,2012,OP,ST,5,13.638691999999999,8.808561,18.228261,86096,53485,118734.34999999998,0.15841260918044972,0.08822575163162366,0.28750978608720107
v1p7p5,Observed,0.95,2014,OP,CT,18,111.36548535,73.76701480875,155.50019761874995,763970.82,628307.2482500001,912603.888,0.14577190965225612,0.1106263496429519,0.18466114901573155
v1p7p5,Observed,0.95,2014,OP,MT,5,4.0846654,0,12.2539962,6588.17,0,19764.510000000002,0.6199999999999999,0.6199999999999999,0.6199999999999999
v1p7p5,Observed,0.95,2014,OP,ST,18,107.07676123,24.348750782250004,259.35091118275005,343538.75,232712.31799999997,452731.43899999995,0.31168757885391385,0.0891436637780563,0.7278948429977701
v1p7p5,Observed,0.95,2015,OP,CT,20,25.90025854,19.101681284250002,32.699121663999996,436607.38,383289.50925,485216.412,0.05932162333124098,0.04508011549859583,0.07240978203136561
v1p7p5,Observed,0.95,2015,OP,MT,20,8.63901682,5.499385276000001,12.2834675795,186492.58,135764.86349999998,243162.20149999997,0.046323649015955495,0.03506987362513097,0.05424320729443711
v1p7p5,Observed,0.95,2015,OP,ST,19,9.80357893,7.256595472250001,12.649918348249999,154139.61,118580.03375,189440.32624999998,0.06360194456181639,0.055253728609561736,0.07096762650110491
v1p7p5,Observed,0.95,2016,OP,CT,8,18.37319832,13.580491426,24.763837257499997,306451.77999999997,251266.679,378205.0847499999,0.059954614458431275,0.049581587091154074,0.07172228888546099
v1p7p5,Observed,0.95,2016,OP,MT,8,1.33445719,0.8759263705000001,1.8530342869999994,41283,26696.38,58028.969999999994,0.03232461763922195,0.030794885221722086,0.03454095797807966
v1p7p5,Observed,0.95,2016,OP,ST,8,4.99087905,3.3926385645,6.753551613,156399.24,101825.58,216988.02,0.03191114643523844,0.0302551176649186,0.03491043355824218
v1p7p5,Observed,0.95,2017,OP,CT,22,22.066216920000002,10.005748181000003,34.93229300749999,1045125.5700000001,835578.976,1308622.9015000002,0.021113460002705704,0.00883671400694744,0.037282143860927895
v1p7p5,Observed,0.95,2017,OP,MT,16,5.3920813700000005,0.3426484800000011,12.738471995000001,327183.01,210950.39150000003,437163.292,0.01648032203750433,0.0010534423666058873,0.03358378576508439
v1p7p5,Observed,0.95,2017,OP,ST,20,3.9542339,0.7707886730000003,7.498443189,241513.35,157713.55950000003,336505.30525,0.016372734260859702,0.0032801358697449544,0.038217096708455606
v1p7p5,Observed,0.95,2020,OP,CT,2,0,0,0,41508.76,41508.76,41508.76,0,0,0
v1p7p5,Observed,0.95,2020,OP,ST,12,0,0,0,258637.96,138864.46275,397057.6032499999,0,0,0
v1p7p5,Observed,0.95,2021,OP,CT,10,21.42561728,2.67542216,45.410150306,141406.26,109388.92425000001,171766.71200000003,0.1515181667346269,0.020359599328872192,0.3458524667000122
v1p7p5,Observed,0.95,2021,OP,MT,11,12.710367799999998,2.6312197999999998,30.181460599999998,113041.86,63894.99650000001,176582.4665,0.1124394786143823,0.014599455232440337,0.31780744262471367
v1p7p5,Observed,0.95,2021,OP,ST,13,35.7712183,8.7617344,67.07763058249998,182034.84,93911.59975,286568.14225,0.19650753833716667,0.06661202703413038,0.31972648002546916
v1p7p5,Observed,0.95,2023,OP,CT,40,174.51145142000001,117.936632774,232.99597844274996,1647312.4000000001,1414726.8562500002,1898289.16725,0.10593707145044255,0.06946681390281995,0.15329907865072542
v1p7p5,Observed,0.95,2023,OP,MT,45,192.11294532,124.751577147,263.79921151274993,2117365.43,1920355.09625,2317325.065,0.09073206854047862,0.05783822007929477,0.12593663913823597
v1p7p5,Observed,0.95,2023,OP,ST,41,217.66742838,135.31592099650004,311.13722452875,1541566.8599999999,1384937.65225,1721275.362,0.14119882440908207,0.09098330123137083,0.19203210780724755
v1p7p5,Observed,0.95,2024,OP,CT,16,394.54912601,218.57251752049999,625.176293046,760759.5,633647.8015000001,880142.095,0.5186253027533668,0.3060293019692463,0.7998283289119216
v1p7p5,Observed,0.95,2024,OP,MT,14,338.82351299,227.5821563275,457.24402936075,852500.98,606851.8740000001,1093130.4555,0.3974464791700298,0.2993305329617911,0.5132588746100099
v1p7p5,Observed,0.95,2024,OP,ST,23,558.03453705,430.82634390350006,682.3158637170001,1201750.75,1011288.7805000001,1397013.30525,0.46435131165926047,0.38036853297142176,0.5509132273332502
v1p7p5,Observed,0.95,2025,OP,CT,44,444.89555249,310.73341089275004,613.3022726085,2008642.38,1884545.8534999997,2137655.54075,0.22149067296389516,0.16222588038051372,0.2973037798665303
v1p7p5,Observed,0.95,2025,OP,MT,34,315.77364287,212.38814623775,421.757759606,1833373.02,1651938.3597499998,2001262.6727500001,0.17223644038898314,0.11791420229614856,0.22310883607753332
v1p7p5,Observed,0.95,2025,OP,ST,44,484.03002773000003,365.335752219,602.49817470325,2371308.14,2188524.8240000005,2547724.29675,0.20411941390712723,0.15360754214266847,0.24999231699604868
v1p7p5,Observed,0.95,2020,Se,CT,2,0.292636758,0.282259568,0.30301394800000003,41508.76,41508.76,41508.76,0.007049999999999999,0.0068,0.0073
v1p7p5,Observed,0.95,2020,Se,ST,12,1.484268378,0.8160791767000003,2.315513813249999,258637.96,142800.25425,398577.42974999995,0.00573878783300023,0.005426011695639658,0.005944132115703975
v1p7p5,Observed,0.95,2021,Se,CT,10,1.058294391,0.6942516069000001,1.4620875143749998,141406.26,113245.55350000001,172383.2365,0.007484070302120994,0.005442168215710047,0.009429762356192837
v1p7p5,Observed,0.95,2021,Se,MT,11,0.685944746,0.36586752465000005,1.0629738616,113041.86,64608.06200000001,173950.37999999998,0.006068059619684248,0.004704875584922702,0.007453414781771146
v1p7p5,Observed,0.95,2021,Se,ST,13,1.3668267570000001,0.6689446950750001,2.1723068725249997,182034.84,92385.04250000001,290180.29449999996,0.0075085997658470216,0.006930148948423938,0.007967898065013008
v1p7p5,Observed,0.95,2023,TDS,CT,40,1769927.3126,1545345.6418275004,2009755.9714300002,1647312.4000000001,1402190.71925,1903609.7145,1074.4333088247256,995.8501796780215,1157.539441779302
v1p7p5,Observed,0.95,2023,TDS,MT,45,2429638.80148,2157173.1640919996,2710150.4914635,2117365.43,1901879.22025,2303011.2955,1147.4820392623487,1080.6180920474626,1225.6740172428324
v1p7p5,Observed,0.95,2023,TDS,ST,41,1754338.2496,1567118.6368375001,1952888.0181800001,1541566.8599999999,1398955.0750000002,1713575.12475,1138.0228098572384,1067.1702576445646,1197.3277619263567
v1p7p5,Observed,0.95,2024,TDS,CT,16,769757.47324,660900.0496185,880444.6938769998,760759.5,646897.54925,888735.15475,1011.8276186363759,846.3925614087561,1189.0034418759326
v1p7p5,Observed,0.95,2024,TDS,MT,14,850609.18194,640391.8149325,1043627.2314115,852500.98,622475.2447500001,1085300.0417499996,997.7808845920624,821.101481703666,1213.7290363345887
