"Operation","Speed","Speed_MIN","Speed_Max","Surf_Disturbance","Depth","Depth_MIN","Depth_MAX","TILLAGE_TYPE","TILLAGE_TYPE_Modifier","STIR_original","Diesel_use","Burial_Coefficient","Source","Description"
"Stalk chopper, rolling, on ridgetill ridges",14.481,11.263,24.135,65,3.81,2.54,10.16,"TILLAGE_TYPE_MIXING",0.7,9.9815625,6.75542,0.492,"USDA_MOSES_2023-02-24","Rolling Stalk Chopper, ground driven with double rotor gangs operating on ridgetill ridges.  111406 DTL
Adjusted speed and tillage type to be less agressive than rototiller, spader and Stalk chopper, rolling.  Changed residue burial ratio and resurfacing according to 2022 protocol. 03312022 GGF"
"Stalk chopper, rolling, strip",14.481,11.263,24.135,85,3.81,2.54,10.16,"TILLAGE_TYPE_MIXING",0.7,13.0528125,6.75542,0.6655,"USDA_MOSES_2023-02-24","Rolling Stalk Chopper, ground driven with double rotor gangs operating on the rows.  This operation represents individual gangs operationg on the rows with some interrow area not disturbed although thrown soil is deposited within this area. 110906DTL
Adjusted speed and tillage type to be less agressive than rototiller, spader and Stalk chopper, rolling.  Reduced disturbed area from 100 to 85% to be consistent with description.  Changed residue burial ratio and resurfacing according to 2022 protocol. 03312022 GGF"
"Stalk chopper, rotary",19.308,8.045,24.135,100,5.08,2.54,10.16,"TILLAGE_TYPE_MIX_INV",0.8,31.2,6.75542,0.73,"USDA_MOSES_2023-02-24","Stalk chopper, rotary same as ""Stalk chopper, rolling"".  Ground driven with double rotor gangs covering the full width of the machine.  This record represents operation on unridged ground where the weight of the machine is distriibuted across 100% of the working width. 110906 DTL"
"Stalk chopper, strip rotary",19.308,16.09,24.135,80,5.08,2.54,10.16,"TILLAGE_TYPE_MIX_INV",0.8,24.96,6.75542,0.73,"USDA_MOSES_2023-02-24","Stalk Chopper, strip rotary same as ""Stalk chopper rolling, strip""  Ground driven with double rotor gangs operating on the rows.  This operation represents individual gangs operationg on the rows with some interrow area not disturbed although thrown soil is deposited within this area. 110906DTL"
"Stalk puller",11.263,9.654,22.526,40,6.35,2.54,10.16,"TILLAGE_TYPE_MIX_INV",0.8,9.1,2.96128,0.31,"USDA_MOSES_2023-02-24","A pair of concave disk blades mounted in a Vee configuration and spaced to pinch and pull stalk and root ball.    Approximately 60 % of the surface left  undisturbed.   11/15/06 DTL
Adusted Rec. till. depth to 2.5 inches from 3 inches and reduced Rec. speed to 7 mph.  Changed initial roughness to 0.6 from 0.9.  Changed residue burial ratio and resurfacing according to 2022 protocol. 04112022 GGF"
"Stalk puller high disturbance",11.263,9.654,24.135,65,6.35,5.08,12.7,"TILLAGE_TYPE_MIX_INV",0.8,14.7875,2.96128,0.492,"USDA_MOSES_2023-02-24","A pair of concave disk blades mounted in a Vee configuration and spaced to pinch and pull cotton or corn stalks and root ball and lay the stubble flat.   Approximately 35 -40% of the surface left  undisturbed.   11/15/06 DTL DTL
Adusted Rec. till. depth to 2.5 inches from 3 inches and reduced Rec. speed to 7 mph.  Changed residue burial ratio and resurfacing according to 2022 protocol. 04112022 GGF"
"Stalk slicer",13.6765,8.045,19.308,40,3.81,2.54,6.35,"TILLAGE_TYPE_MIX_INV",0.8,6.63,4.1643,0.0525,"USDA_MOSES_2023-02-24","Stalk slicer.  A pair of flat disk blades mounted in a Vee configuration and spaced to run directly on the previous crop row to cut the stalk and root ball and also lightly till a zone into which the next crop is no-tilled or striptilled.  Same tool as a stalk puller except it is set to cut the stalk and root ball rather than pull it out.  Rev101306 DTL"
"Strip till bed conditioner",8.045,5.6315,10.4585,30,6.35,5.08,10.16,"TILLAGE_TYPE_MIX_INV",0.8,4.875,2.96128,0.15,"USDA_MOSES_2023-02-24","Striptill bed conditioner smoothes, firms and prepares a seedbed following an in-row subsoiler operation.  050802 DTL"
"Striptiller w/middlebuster on beds",4.827,1.609,8.045,30,15.24,10.16,17.78,"TILLAGE_TYPE_MIX_INV",0.8,7.02,4.1643,0.228,"USDA_MOSES_2023-02-24","Rototiller and middlebuster in 18"" strips on beds to open the seed furrow for planting sugarcane, etc.  02-01-02 DTL"
"Subsoil disk ripper",6.436,4.827,12.872,100,12.7,7.62,15.24,"TILLAGE_TYPE_MIX_INV",0.8,58.175,23.135,0.73,"USDA_MOSES_2023-02-24","Subsoil ripper with tandem disk gangs in front and leveling disks behind.  Similar to DMI ecolo-tiger TM 730B and 9300  101606 DTL modified burial ratio and resurfacing fraction of 2nd disturb surface process to match subsoiler and 3rd disturb surface process to better model the purpose of the last disk gang of lightly covering the subsoiler opening . LOS 01272015"
