Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
NPOC,MT,ML,1,5.820766091346741e-11,5.820766091346741e-11,2.1112356528452509e-16,,,0.0,0.0,,221113.9570592888,275704.23431900004,0.8019969573751694
NPOC,ST,ML,1,3.4924596548080444e-10,3.4924596548080444e-10,3.7541051646387787e-16,,,1.0,0.0,,382182.1696566853,930304.160817,0.41081421082869296
OP,CT,Bayes,11,80999.89434638344,104655.03522601273,0.9204041118137576,0.23523506728776544,0.6847706439772554,0.45454545454545453,149104.32952362412,0.95,64608.49424466459,113705.52769454545,0.5682089125713095
OP,CT,ML,11,54461.207366607494,97975.29028561288,0.8616581117218001,0.22022088046792757,0.6410642591428973,0.09090909090909091,1184.5232567887522,,89435.24083481042,113705.52769454545,0.7865513897887719
OP,MT,Bayes,10,76998.9403158132,113465.31467314664,1.218497276296679,0.33620442714559473,0.8786425785003315,0.6,120413.49972710882,0.95,63967.79737020736,93119.054823,0.6869463773209132
OP,MT,ML,10,103314.27991199723,182530.8053315945,1.9601874791206557,0.5408495540660271,1.413465761887589,0.0,2288.5056404453644,,64627.84863099243,93119.054823,0.6940346286142676
OP,ST,Bayes,11,58993.918737888445,79910.4660395561,0.6045358349690771,0.14319985723821982,0.4117600645505874,0.7272727272727273,127426.22079823432,0.95,47528.935509951836,132184.82911545454,0.3595642240338981
OP,ST,ML,11,32885.436267581,59620.30818926932,0.4510374495184693,0.10683981766513374,0.30720959550389104,0.09090909090909091,784.8510015514287,,62138.22388833321,132184.82911545454,0.47008589642355747
Se,CT,Bayes,2,5387.427346124791,5512.944666639432,8.161695983870503,7.200273894010057,14.400547788020114,0.0,1066.8219616378503,0.95,5228.259401446006,675.4655745,7.740230736875261
Se,CT,ML,2,22735.492615044783,30581.752878113,45.27507253163943,39.94181153564364,79.88362307128727,0.0,788.3284744752207,,8378.642201264149,675.4655745,12.404247555423195
Se,MT,Bayes,1,4133.210453440406,4133.210453440406,6.025573455504543,,,0.0,814.86629709113,0.95,4021.608009208416,685.944746,5.862874572128316
Se,MT,ML,1,7396.980323896024,7396.980323896024,10.783638721676313,,,0.0,82.05754308241649,,36881.29039764103,685.944746,53.76714467558737
Se,ST,Bayes,2,2688.512935622317,2809.9524093121936,1.9711390018644142,23.92637623174653,47.85275246349306,0.0,650.5150322656477,0.95,2597.00846985891,1425.5475675,1.8217620576585283
Se,ST,ML,2,4779.152271144686,6458.474702540073,4.530522060281985,54.99306504412138,109.98613008824276,0.0,189.3345018696615,,24902.212164976085,1425.5475675,17.46852418867186
TDS,CT,Bayes,3,406552948.6931927,581837743.5894004,0.4508211614814324,0.5817389414199025,1.421288907518387,0.3333333333333333,152717026.67540345,0.95,388030040.5431023,1290617640.2133334,0.3006545303990752
TDS,CT,ML,3,358633285.4541604,537459348.8726461,0.4164357685238259,0.5373680826214092,1.3128832208139045,0.0,49858042.23526756,,918712589.1210966,1290617640.2133334,0.7118394794055639
TDS,MT,Bayes,3,418396726.50131637,553274801.838358,0.37124777264189035,0.35038912189597626,0.8153663504400835,0.3333333333333333,135540668.6322914,0.95,400172912.64941573,1490311437.8333333,0.2685162996743829
TDS,MT,ML,3,529320655.8801872,666696914.0122446,0.4473540879358155,0.4222193844637731,0.9825175985271892,0.0,39579927.198058605,,1290964438.0883596,1490311437.8333333,0.8662380260364966
TDS,ST,Bayes,3,296632551.0961221,328213708.65221196,0.20907051578812574,0.8403789217548162,2.0491024524904384,0.0,130497299.96347277,0.95,279099584.10680604,1569870851.54,0.1777850603653269
TDS,ST,ML,3,189074582.33430925,250742717.58565593,0.15972187606368018,0.6420173475014472,1.5654358852308778,0.0,27197343.321838856,,1324831657.7723553,1569870851.54,0.8439112405155699
TKN,CT,Bayes,10,1535827.8573488127,1865964.0569464704,1.3453993890353468,0.3509498542627367,1.1383006116860734,0.2,1198445.8220065082,0.95,1360265.158507262,1386922.033824,0.9807798314060667
TKN,CT,ML,10,985627.1295238169,1258236.4382581504,0.9072149750112198,0.23664866050923644,0.7675663965675446,0.1,436267.4804683233,,834213.9228951908,1386922.033824,0.6014858099810477
TKN,MT,Bayes,9,1102926.9921896742,1411887.0084321944,1.2792027946814188,0.21249583576832506,0.7093183821893313,0.3333333333333333,936910.9725396867,0.95,963150.0473624482,1103724.143116667,0.8726365671794862
TKN,MT,ML,9,785091.0081575126,1166480.6535497117,1.0568588725945913,0.17556099029402752,0.5860286022107494,0.1111111111111111,357741.36780847685,,596386.1081054623,1103724.143116667,0.5403398229755154
