model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p8,Bayes_Modeled,0.95,2012,NO2,ST,16,16,555094.1888996037,536189.9027030477,573570.3869855049,0.33959417419642435,0,1.5282238524557292,188.5763756125981,0,856.8003127596896
v1p8,Bayes_Modeled,0.95,2013,NO2,CT,14,14,525037.1959034846,506239.2433108571,543362.3434590283,0.2980543920100833,0,1.5593370316950548,156.63720741942487,0,823.5669193150218
v1p8,Bayes_Modeled,0.95,2013,NO2,MT,14,14,526095.1703721152,506720.69441280817,544581.626208433,0.29622815418161746,0,1.5671906486834435,156.014318570595,0,826.4738062053755
v1p8,Bayes_Modeled,0.95,2013,NO2,ST,14,14,526095.1703721152,506720.69441280817,544581.626208433,0.29634830833136855,0,1.5560625502632366,156.07359346410632,0,825.2438138386681
v1p8,Bayes_Modeled,0.95,2014,NO2,CT,25,25,863885.3309631225,836117.8223848543,891178.9003915379,0.4629615990416772,0,1.9478426383143315,400.24836742059057,0,1698.034287755493
v1p8,Bayes_Modeled,0.95,2014,NO2,MT,8,8,278639.5475506691,267676.7527372607,288591.45716732193,0.4327156767823223,0,1.8811070899207216,120.68131628291881,0,531.6684707292327
v1p8,Bayes_Modeled,0.95,2014,NO2,ST,24,24,835918.6426520073,803030.2582117822,865774.371501966,0.45582424674678085,0,1.9137958512076292,381.35790405413474,0,1629.4006503494866
v1p8,Bayes_Modeled,0.95,2015,NO2,CT,22,22,733383.6641511455,705643.7773865641,762167.41300646,0.4124512843101752,0,1.7238760261596124,302.631079992612,0,1256.282860036493
v1p8,Bayes_Modeled,0.95,2015,NO2,MT,22,22,663495.0954985697,645044.4484884165,681361.5661593557,0.36158523399614595,0,1.680595366338184,239.8386603256759,0,1100.802490171358
v1p8,Bayes_Modeled,0.95,2015,NO2,ST,22,22,639608.859748665,620500.5184309131,658409.0138506284,0.356224101001422,0,1.6736785578756337,227.76243690323165,0,1065.5831495488944
v1p8,Bayes_Modeled,0.95,2016,NO2,CT,8,8,190295.07325248665,164648.94407579667,213809.58835510767,0.4047583077724558,0,1.7816179851916751,77.07258784910908,0,346.00663063036797
v1p8,Bayes_Modeled,0.95,2016,NO2,MT,8,8,164618.6464566625,138969.37181222453,187733.87068647728,0.39181147191283994,0,1.7452140880961857,64.57689901221102,0,293.066504480979
v1p8,Bayes_Modeled,0.95,2016,NO2,ST,8,8,163074.27275664717,137216.50671343337,186224.64653217926,0.3913151465125836,0,1.746820009825537,63.89030902366435,0,288.34852893781124
v1p8,Bayes_Modeled,0.95,2017,NO2,CT,30,30,1094023.516068776,1050709.3708950155,1135588.1270223986,0.3471516605110815,0,1.7077107558806652,379.67568776155423,0,1888.198660337796
v1p8,Bayes_Modeled,0.95,2017,NO2,MT,24,24,737036.3693097222,712741.5498161586,762021.9410816012,0.3011519150304366,0,1.6226473782894075,221.92049665497498,0,1217.3535609717173
v1p8,Bayes_Modeled,0.95,2017,NO2,ST,29,29,864571.0875189841,832058.6455054979,897055.1524148533,0.2976767818943469,0,1.6022682117986864,257.3331393191548,0,1418.6999936091004
v1p8,Bayes_Modeled,0.95,2018,NO2,CT,10,10,410019.44176514354,229526.78906822493,585093.0304679327,0.4654738963633015,0,1.7893581368520857,195.6412748682464,0,762.4527145100362
