Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,PointCumulativeLoad_kg,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,TN,CT,14.840226664766776,14.58764698847193,8.32882957114397,23.62518201116811,1500,,14.58764698847193,posterior_median,True
Bayes,model_only,TN,MT,13.908045961728345,13.699870091566902,6.76111159234586,22.653514774557667,1500,,13.699870091566902,posterior_median,True
Bayes,model_only,TN,ST,14.278008369153557,14.026630847069908,7.0132274306440125,23.296041361649216,1500,,14.026630847069908,posterior_median,True
Bayes,model_only,TP,CT,1.5831764944566875,1.4882362019011244,0.36949570621716665,3.3532727016883737,1500,,1.4882362019011244,posterior_median,True
Bayes,model_only,TP,MT,2.0253906907828707,1.9553452575519197,0.7714781125481537,3.921619977471209,1500,,1.9553452575519197,posterior_median,True
Bayes,model_only,TP,ST,1.8951547253625958,1.8123306236667613,0.5279372517303742,3.812576332140378,1500,,1.8123306236667613,posterior_median,True
Bayes,model_only,TSS,CT,2058.2547111056747,1948.49008526911,821.5847537270154,4007.0548312644346,1500,,1948.49008526911,posterior_median,True
Bayes,model_only,TSS,MT,1886.72907733265,1763.0608770551835,777.9162875948165,3586.5778355861567,1500,,1763.0608770551835,posterior_median,True
Bayes,model_only,TSS,ST,1857.910772080585,1757.466273243818,674.8381086221593,3685.680914427413,1500,,1757.466273243818,posterior_median,True
ML,full_record_model_only,NH4,CT,2.100123994588904,1.9406194211225811,1.409588543299732,3.7148064583839564,2000,1.18672505834263,1.18672505834263,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NH4,MT,1.716654548384297,1.5822715316586191,1.1494863576205019,2.928246946359921,2000,1.0037939979194923,1.0037939979194923,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NH4,ST,1.627030610208145,1.5138382946859623,1.0878436308301043,2.7970600461983475,2000,0.92639832429861,0.92639832429861,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NO2,CT,1.5854143265150542,1.4740245726800247,1.0301660027762294,2.6585316689199705,2000,0.8476620668190217,0.8476620668190217,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NO2,MT,1.2985011409634337,1.192197343114202,0.843491275271515,2.268890349099,2000,0.7106074109248108,0.7106074109248108,mean_of_replicate_annual_plot_totals,False
ML,full_record_model_only,NO2,ST,1.2066428309798285,1.103924349297452,0.7732052755850138,2.1430705236395218,2000,0.6360162764119275,0.6360162764119275,mean_of_replicate_annual_plot_totals,False
