Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,2020,TN,ST,,posterior_median,True,"0.7 (0.04785, 1.617)"
Bayes,model_only,2020,TP,CT,,posterior_median,True,"0.03884 (0, 0.2128)"
Bayes,model_only,2020,TP,MT,,posterior_median,True,"0.0252 (0, 0.155)"
Bayes,model_only,2020,TP,ST,,posterior_median,True,"0.02664 (0, 0.1494)"
Bayes,model_only,2020,TSS,CT,,posterior_median,True,"47.01 (0, 226.8)"
Bayes,model_only,2020,TSS,MT,,posterior_median,True,"18.66 (0, 119.2)"
Bayes,model_only,2020,TSS,ST,,posterior_median,True,"15.95 (0, 112.6)"
Bayes,model_only,2021,TN,CT,,posterior_median,True,"1.035 (0.08577, 2.249)"
Bayes,model_only,2021,TN,MT,,posterior_median,True,"0.581 (0.03126, 1.526)"
Bayes,model_only,2021,TN,ST,,posterior_median,True,"1.309 (0.07089, 2.979)"
Bayes,model_only,2021,TP,CT,,posterior_median,True,"0.1666 (0.04287, 0.4169)"
Bayes,model_only,2021,TP,MT,,posterior_median,True,"0.09663 (0.02295, 0.2652)"
Bayes,model_only,2021,TP,ST,,posterior_median,True,"0.1931 (0.04713, 0.499)"
Bayes,model_only,2021,TSS,CT,,posterior_median,True,"174.7 (56.45, 379.1)"
Bayes,model_only,2021,TSS,MT,,posterior_median,True,"77.6 (17.08, 224.3)"
Bayes,model_only,2021,TSS,ST,,posterior_median,True,"148.6 (32.5, 414.2)"
Bayes,model_only,2022,TN,CT,,posterior_median,True,"1.386 (0.07099, 3.155)"
Bayes,model_only,2022,TN,MT,,posterior_median,True,"2.025 (0.07533, 4.525)"
Bayes,model_only,2022,TN,ST,,posterior_median,True,"2.091 (0.1356, 4.566)"
Bayes,model_only,2022,TP,CT,,posterior_median,True,"0.1358 (0.02611, 0.3925)"
Bayes,model_only,2022,TP,MT,,posterior_median,True,"0.2301 (0.05144, 0.6339)"
Bayes,model_only,2022,TP,ST,,posterior_median,True,"0.2515 (0.06601, 0.6497)"
Bayes,model_only,2022,TSS,CT,,posterior_median,True,"206.8 (70.41, 482.4)"
Bayes,model_only,2022,TSS,MT,,posterior_median,True,"235.5 (61.63, 622.2)"
Bayes,model_only,2022,TSS,ST,,posterior_median,True,"253.9 (70.24, 623.3)"
Bayes,model_only,2023,TN,CT,,posterior_median,True,"1.239 (0.03522, 3.549)"
Bayes,model_only,2023,TN,MT,,posterior_median,True,"1.781 (0.03703, 4.81)"
Bayes,model_only,2023,TN,ST,,posterior_median,True,"1.541 (0.03776, 4.274)"
Bayes,model_only,2023,TP,CT,,posterior_median,True,"0.0273 (0, 0.2529)"
Bayes,model_only,2023,TP,MT,,posterior_median,True,"0.07319 (0, 0.4094)"
Bayes,model_only,2023,TP,ST,,posterior_median,True,"0.05113 (0, 0.3587)"
Bayes,model_only,2023,TSS,CT,,posterior_median,True,"202.1 (34.17, 521.3)"
Bayes,model_only,2023,TSS,MT,,posterior_median,True,"288 (76.13, 701.8)"
Bayes,model_only,2023,TSS,ST,,posterior_median,True,"307.5 (81.98, 670.7)"
Bayes,model_only,2024,TN,CT,,posterior_median,True,"0.9169 (0, 2.402)"
Bayes,model_only,2024,TN,MT,,posterior_median,True,"1.404 (0, 3.634)"
Bayes,model_only,2024,TN,ST,,posterior_median,True,"1.377 (0, 3.59)"
Bayes,model_only,2024,TP,CT,,posterior_median,True,"0.03858 (0, 0.2335)"
Bayes,model_only,2024,TP,MT,,posterior_median,True,"0.02689 (0, 0.2834)"
Bayes,model_only,2024,TP,ST,,posterior_median,True,"0.1312 (0, 0.4548)"
Bayes,model_only,2024,TSS,CT,,posterior_median,True,"95.56 (11.83, 276.4)"
Bayes,model_only,2024,TSS,MT,,posterior_median,True,"88.95 (0, 363.6)"
Bayes,model_only,2024,TSS,ST,,posterior_median,True,"259.1 (60.47, 553.6)"
Bayes,model_only,2025,TN,CT,,posterior_median,True,"1.565 (0.05527, 3.881)"
Bayes,model_only,2025,TN,MT,,posterior_median,True,"2.056 (0.1482, 5.101)"
Bayes,model_only,2025,TN,ST,,posterior_median,True,"2.064 (0.08886, 5.197)"
Bayes,model_only,2025,TP,CT,,posterior_median,True,"0.3063 (0.02155, 0.7883)"
Bayes,model_only,2025,TP,MT,,posterior_median,True,"0.9099 (0.4617, 1.58)"
Bayes,model_only,2025,TP,ST,,posterior_median,True,"0.6408 (0.1826, 1.276)"
Bayes,model_only,2025,TSS,CT,,posterior_median,True,"156 (8.232, 495.3)"
Bayes,model_only,2025,TSS,MT,,posterior_median,True,"572.3 (326.7, 1008)"
Bayes,model_only,2025,TSS,ST,,posterior_median,True,"320.8 (94.89, 779.9)"
ML,full_record_model_only,2011,TN,CT,0.3731595558842362,mean_of_replicate_annual_plot_totals,True,"0.3732 (0.2632, 2.358)"
ML,full_record_model_only,2011,TN,MT,0.42957349420301383,mean_of_replicate_annual_plot_totals,True,"0.4296 (0.297, 2.749)"
ML,full_record_model_only,2011,TN,ST,0.40195674306141105,mean_of_replicate_annual_plot_totals,True,"0.402 (0.2977, 2.221)"
ML,full_record_model_only,2011,TP,CT,0.15072169902059573,mean_of_replicate_annual_plot_totals,True,"0.1507 (0.1064, 0.8848)"
ML,full_record_model_only,2011,TP,MT,0.15096872635638464,mean_of_replicate_annual_plot_totals,True,"0.151 (0.1063, 0.9705)"
ML,full_record_model_only,2011,TP,ST,0.16753734731578113,mean_of_replicate_annual_plot_totals,True,"0.1675 (0.1135, 1.075)"
ML,full_record_model_only,2011,TSS,CT,109.5998325988441,mean_of_replicate_annual_plot_totals,True,"109.6 (81.69, 555.3)"
ML,full_record_model_only,2011,TSS,MT,114.26500396550549,mean_of_replicate_annual_plot_totals,True,"114.3 (82.68, 649.6)"
ML,full_record_model_only,2011,TSS,ST,108.59025872375707,mean_of_replicate_annual_plot_totals,True,"108.6 (77.41, 660.4)"
ML,full_record_model_only,2012,TN,CT,0.2377689175207874,mean_of_replicate_annual_plot_totals,True,"0.2378 (0.1922, 1.181)"
ML,full_record_model_only,2012,TN,MT,0.28675437681596844,mean_of_replicate_annual_plot_totals,True,"0.2868 (0.2126, 1.538)"
ML,full_record_model_only,2012,TN,ST,0.25077978533663803,mean_of_replicate_annual_plot_totals,True,"0.2508 (0.1977, 1.225)"
ML,full_record_model_only,2012,TP,CT,0.127256922638657,mean_of_replicate_annual_plot_totals,True,"0.1273 (0.09686, 0.7665)"
ML,full_record_model_only,2012,TP,MT,0.1604422497373587,mean_of_replicate_annual_plot_totals,True,"0.1604 (0.1167, 0.9502)"
ML,full_record_model_only,2012,TP,ST,0.15221782110046178,mean_of_replicate_annual_plot_totals,True,"0.1522 (0.1153, 0.8378)"
ML,full_record_model_only,2012,TSS,CT,94.97981993006624,mean_of_replicate_annual_plot_totals,True,"94.98 (77.93, 428.6)"
