model_version,source,interval_prob,interval_type,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,TKN,CT,14,14,190983.1533558173,137453.97130257357,240143.25225275662,5.420378531968373,2.8426117851743733,8.444435534046605,1034.6526673997084,513.198661743103,1713.018665139322
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,TKN,MT,14,14,193104.37929627745,145653.42775791354,243551.86342235276,5.250662772742582,2.6571919134401267,8.012644507283664,1014.9404696328232,493.0874311936104,1653.8527694024187
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,TKN,ST,14,14,169429.57186765925,122769.91028966528,215371.7963782447,4.93535961090605,2.601615898837956,7.730846540619684,837.3043391290529,397.2732272809644,1440.5488888418897
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,TKN,CT,10,10,152335.83174205667,116734.97314139664,190220.86473354237,4.616026329125859,2.591845990736444,6.923440694566013,704.4905342234239,367.1372025309911,1121.0992979728267
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,TKN,MT,10,10,102940.70584653116,61881.852791097204,146722.67729970516,4.621218277320753,2.0300543518013443,7.598938518309411,477.34791643431794,180.44964760756994,868.5574136201744
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,TKN,ST,10,10,106259.33937140861,68656.21759579857,142762.11205472093,4.666442304519142,2.5695795869062232,7.155577155728475,496.67693473674655,232.89839108043572,847.9549248800862
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,TKN,CT,12,12,167237.88968380616,123595.29345629163,213293.9329038577,1.8092205340443346,0.6742494930642426,3.1074453656141747,302.69459451403054,108.786880511307,561.044758506536
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,TKN,MT,12,12,122825.75942610118,78776.12739067139,163235.12927808135,1.2667877922645072,0.34973651156758745,2.4845675425879,156.01993908908688,39.84970488751831,331.07366084460443
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,TKN,ST,12,12,120736.33823896911,77809.67815074172,159478.59535869583,1.344581662756215,0.4010473247323901,2.650270078551416,162.22851339680057,40.35095338595174,336.32590316938774
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,TKN,CT,4,4,54112.056932422616,30050.693028198286,79424.58014825925,0.8944403063916586,0,2.4058847873516003,48.560642160169145,0,142.61433723389723
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,TKN,MT,4,4,30716.955783358528,9693.919429301124,51270.76448205554,0.7788001578500663,0,2.3392972578245104,23.81458171528029,0,75.97674553790037
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,TKN,ST,4,4,37594.50277492942,16997.29732639044,58392.36591972651,0.7695830633856644,0,2.375558144162116,28.952615399452174,0,93.70687836369548
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,TKN,CT,12,12,222584.8779290495,172005.1683700611,271669.2227710728,4.39951484957516,2.969138268289444,5.859244460675896,981.1889543824228,589.1650570177218,1390.1746948411676
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,TKN,MT,12,12,140595.58007993773,102534.10430517694,177154.34857940496,3.032764931367378,1.5764367574589373,4.769392049086884,427.2168254528129,205.61068729787078,726.3515929528303
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,TKN,ST,12,12,134367.03125826217,93217.43080411112,174795.1384201066,2.9536070720330563,1.3370969283863852,4.960497074288121,397.4009648518737,162.32627045208318,704.9819014195414
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,TKN,CT,10,10,195184.58254943683,100558.62656465429,300793.3542041449,2.4843455279944093,0.010681371892617617,6.629163041609232,486.24426267510114,1.9566239408828165,1482.5197538889274
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,TKN,MT,10,10,182910.06469350934,95643.0701905461,281566.4976569713,2.4109739933906735,0.0463754173735266,6.497473188585172,442.53910529302146,7.608137847596497,1333.9993262138387
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,TKN,ST,10,10,182710.2876195573,96802.50334790425,281786.719877522,2.399843275842315,0.023134718628522292,6.528956598934039,439.9998691164151,3.718204189902816,1326.6498995135707
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,TKN,CT,2,2,45521.5029891098,27700.601655031387,64760.54735511522,1.1891907205110284,0,5.643529544938589,55.4825548805278,0,276.75027873054916
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,TKN,MT,2,2,44909.551177299516,24999.1211939371,65315.19283440706,1.197263887889469,0,5.756118102765148,55.149660597943964,0,284.76604021587735
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,TKN,ST,2,2,45121.44241348826,24953.736777237278,65276.2459157626,1.2362685197829872,0,5.997945548901104,56.191331003543475,0,278.3414101267583
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,TKN,CT,14,14,203395.72415625447,142958.01600181483,264983.7436059621,2.7163554650435673,1.285657702388438,4.426021503789608,552.9577073799518,238.47033778226674,980.6043372138357
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,TKN,MT,14,14,164852.53578781293,116120.66170335689,209595.812930162,2.413949358445968,0.9140160685918053,4.262855873861235,398.9749847975173,141.35834822473745,728.1563798871616
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,TKN,ST,14,14,162558.153713379,118783.88687868629,202847.43210803525,2.514749244715939,0.9544747470964299,4.395042948489195,409.7819066691513,139.81648967519692,764.7227119520396
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,TKN,CT,12,12,185059.36596087946,133029.21465121963,238019.33682448335,2.7539422625894314,1.4289880684550145,4.246590786378615,510.62189364080626,242.16118399630528,834.8039642557819
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,TKN,MT,12,12,143039.85128028065,90393.30587378216,203559.80011493375,1.584083283554021,0.5452152868336821,2.9820313077155136,226.002641022717,69.14196714987179,447.71287024974686
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,TKN,ST,12,12,144686.39752711792,94815.2110677681,198066.7725520251,1.3237906641720136,0.37079815194210886,2.568690299656673,191.192057393061,50.06638640474435,387.89362038522916
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,TKN,CT,16,16,247636.1980449116,185321.4539641537,309471.51201023825,3.387083434956358,1.783973974443746,5.239071807236401,840.8393983388364,404.84547181335466,1398.7675061099728
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,TKN,MT,16,16,214205.49886105524,165469.8241892843,259377.58974362462,3.0081647849612168,1.4645981404901987,4.725697494637677,644.5119352084449,293.27526761397286,1064.739379577866
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,TKN,ST,16,16,219405.20722516303,166949.1990005723,266565.5867427715,3.5334721558240396,1.932066045834703,5.330548536200847,775.3851272988105,393.33097170996905,1216.6908979175823
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,TKN,CT,14,14,256250.0159256672,207866.88041678947,307549.1527843118,7.477031277103068,4.534539111484108,10.607679894589559,1927.3155333365755,1026.1163921274158,2883.798789055694
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,TKN,MT,14,14,256672.8902414498,206047.62364569466,311827.70726089645,7.203141432770573,4.370977838922668,9.963495036438655,1857.462980774746,1041.3152475780846,2795.448600839126
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,TKN,ST,14,14,237433.76107702238,192906.65916728263,283129.5963769149,8.660956189765276,4.858285845972102,12.399114491725001,2075.290406973049,1031.443293836977,3198.0428973695634
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,TKN,CT,8,8,177752.40544183357,143804.8217870137,212870.00509031944,1.705659389322408,0.2256136058630569,3.907308796572079,302.9820410843487,38.17190471132818,684.5538088134828
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,TKN,MT,8,8,189233.3063071768,147348.53348904668,232512.99895476116,1.3818546535386054,0.1690611967286669,3.3069415321215088,260.96209176492613,30.859812985346274,635.6788179164682
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,TKN,ST,8,8,199953.7050056471,168033.74527291095,231710.11029645707,1.810261532877719,0.2919521708416362,3.943646736654026,362.07399930885776,59.021331142307076,799.6915733568158
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,TKN,CT,16,16,276039.9121493964,217863.39724868268,332984.0228634976,1.467902750550675,0.3137855983811941,3.134583336009192,405.09870956738405,92.79412092452247,877.3026670657985
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,TKN,MT,16,16,287819.4676809641,229331.20648287295,347187.15965522913,1.3206905152533646,0.2164422422611741,2.975513446025725,379.0765539387946,62.81685110568196,851.8022788482997
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,TKN,ST,16,16,281796.9159122469,228270.10776342687,349420.18965282507,1.2907276272138917,0.27274717567246654,2.7247301996826456,361.32907250284336,82.34246397030523,765.1783548041603
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,TN,CT,12,12,151137.2260446697,103010.96867819886,191961.9029975874,5.858016179558984,3.230985460307518,8.897617809615786,888.5069503926838,421.7550854292672,1467.0635505870034
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,TN,MT,12,12,146346.83530550444,102875.68604063804,194176.23274410795,5.749705062217178,3.0738060299605885,8.811319174539431,844.4845463991173,377.70454550851264,1409.0889255710172
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,TN,ST,12,12,141384.5814893776,100134.79895893676,184134.49173221295,5.476269362579443,2.7362869879022655,8.548462466870493,776.1872956181193,351.31468384405565,1327.735525991241
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,TN,CT,20,20,221162.06070010277,135070.22603977376,304810.2733570377,2.7335792925647384,0.9618624090261413,5.597593515512669,608.0567745756331,187.53119638402086,1364.1496004089752
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,TN,MT,20,20,205112.9291047372,144852.62514510143,267845.3759914493,2.9772842826977146,1.2495280389539556,5.7506784881525395,610.1094825957489,228.94276209376739,1212.8451807082674
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,TN,ST,20,20,186661.68719114095,128108.60908219047,248543.5961205928,2.5058183731736907,0.802102980535222,5.186835898610365,469.720807502205,141.34946362487645,1018.4386776543975
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,TN,CT,14,14,190983.1533558173,137453.97130257357,240143.25225275662,4.544244855446815,0.008601230366762021,10.923741237782398,876.3732646962914,1.4892222882806074,2244.0266150095135
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,TN,MT,14,14,193104.37929627745,145653.42775791354,243551.86342235276,4.529104582715104,0.0038425402463495547,11.10937752258478,878.7509055174686,0.8193868310994229,2289.856437179773
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,TN,ST,14,14,169429.57186765925,122769.91028966528,215371.7963782447,4.362640431027584,0.012629711144347262,10.695131160581724,743.3501952159435,2.4126452774539677,1959.928924026405
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,TN,CT,10,10,152335.83174205667,116734.97314139664,190220.86473354237,7.020559112760663,4.593764335134814,9.536923269145678,1070.0252571199053,666.1027571105468,1599.084304470815
v3p1_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,TN,MT,10,10,102940.70584653116,61881.852791097204,146722.67729970516,5.708395490857802,2.9005210472838865,8.355566101153894,590.5344699417982,259.78626058468416,1005.8732826271712
