Year,Treatment,Analyte,mean,median,low,high,n_draws
2012,CT,TotalP,246814.4668724016,238687.98452589716,104238.47994884555,449236.84722010425,2000
2012,MT,ICP,179800.92476009723,169136.3262934278,58781.356175828674,362462.9428372819,2000
2012,MT,Nitrate,1586215.6369552114,1533672.9301852812,777186.9641794481,2748018.929473427,2000
2012,MT,OrthoP,82191.11081425768,74104.4041132537,17028.211105714003,190113.5422900695,2000
2012,MT,TSS,174576570.583275,169699942.49220842,99066416.42760168,272803050.3453876,2000
2012,MT,TotalN,2365166.0167217003,2261923.3866459727,1155555.5930730572,4048179.383762071,2000
2012,MT,TotalP,255727.42063567258,239909.49729485446,98233.52729487642,497983.74118642765,2000
2012,ST,ICP,138368.16412872708,127235.41766864066,36139.30991474259,297286.3779428978,2000
2012,ST,Nitrate,1140971.5297827914,1075425.193736691,469395.67306743655,2195738.1207446605,2000
2012,ST,OrthoP,62388.32029589981,55463.4820215288,7353.092348422035,150244.3687404588,2000
2012,ST,TSS,147677026.78425303,144480314.34974188,86077833.36572261,231850288.62514699,2000
2012,ST,TotalN,1751761.7497909134,1643952.860447961,749421.5919242556,3328599.4095062343,2000
2012,ST,TotalP,200769.79943370706,187124.94803135356,73735.53852196716,401252.54286539106,2000
2013,CT,ICP,70145.02256576608,59435.03484574762,9457.321014623078,185937.2299803643,2000
2013,CT,Nitrate,1045452.913006314,979677.7231445312,344061.5472853601,2153772.3982300875,2000
2013,CT,TKN,381715.6061859334,351969.33224722097,127350.86750133232,796316.3257740791,2000
2013,CT,TSS,84591830.75776444,80104552.73091392,29945364.436714984,171558480.82777736,2000
2013,CT,TotalP,155602.70583915635,141733.87468331575,42210.942901120965,351715.8222552591,2000
2013,MT,ICP,53404.24180412491,43008.24413693497,4884.570093537588,152165.87614499032,2000
2013,MT,Nitrate,707285.3167287441,643309.1932760414,212867.43945336528,1578694.1707282546,2000
2013,MT,TKN,264473.3314316311,239221.8903814223,72304.19924275995,610829.4359441758,2000
2013,MT,TSS,55917650.3064518,50608748.3857203,16721783.832788706,124506814.97957721,2000
2013,MT,TotalP,105040.3537917793,91370.35780967683,22146.05426895324,257877.60644380818,2000
2013,ST,ICP,50810.42569013713,42475.17006115429,8496.414688360695,137010.16299200646,2000
2013,ST,Nitrate,771967.8764580465,713461.8189104232,291004.19806469633,1553630.1909002252,2000
