Year,Treatment,Analyte,AnnualLoad_kg,n_replicate_plots,n_physical_events,AnnualLoad_mg,central_estimate_type
2013,CT,TP,0.07754233358093354,2,14,77542.33358093354,mean_of_replicate_annual_plot_totals
2013,CT,TSP,0.036704488831752986,2,14,36704.488831752984,mean_of_replicate_annual_plot_totals
2013,CT,TSS,144.19101210146627,2,14,144191012.10146627,mean_of_replicate_annual_plot_totals
2013,MT,ICP,0.02942573452054044,2,14,29425.734520540438,mean_of_replicate_annual_plot_totals
2013,MT,NH4,0.046259630627784605,2,14,46259.6306277846,mean_of_replicate_annual_plot_totals
2013,MT,NO2,0.0511125059485382,2,14,51112.5059485382,mean_of_replicate_annual_plot_totals
2013,MT,NO3,0.936410412378997,2,14,936410.4123789971,mean_of_replicate_annual_plot_totals
2013,MT,NOx,0.4385489869770056,2,14,438548.9869770056,mean_of_replicate_annual_plot_totals
2013,MT,NPOC,0.4209356127330353,2,14,420935.6127330353,mean_of_replicate_annual_plot_totals
2013,MT,OP,0.014368141107553148,2,14,14368.141107553149,mean_of_replicate_annual_plot_totals
2013,MT,Se,0.029403910297728104,2,14,29403.910297728104,mean_of_replicate_annual_plot_totals
2013,MT,TDS,0.2647329908589866,2,14,264732.9908589866,mean_of_replicate_annual_plot_totals
2013,MT,TKN,0.6555087217556312,2,14,655508.7217556313,mean_of_replicate_annual_plot_totals
2013,MT,TN,0.41267808139827733,2,14,412678.0813982773,mean_of_replicate_annual_plot_totals
2013,MT,TP,0.07973039246268332,2,14,79730.39246268332,mean_of_replicate_annual_plot_totals
2013,MT,TSP,0.04613345396618057,2,14,46133.45396618057,mean_of_replicate_annual_plot_totals
2013,MT,TSS,143.30268217694996,2,14,143302682.17694995,mean_of_replicate_annual_plot_totals
2013,ST,ICP,0.020541267145370745,2,14,20541.267145370744,mean_of_replicate_annual_plot_totals
2013,ST,NH4,0.0306018784333778,2,14,30601.878433377802,mean_of_replicate_annual_plot_totals
2013,ST,NO2,0.03666714274291877,2,14,36667.14274291877,mean_of_replicate_annual_plot_totals
2013,ST,NO3,0.745798554497104,2,14,745798.554497104,mean_of_replicate_annual_plot_totals
2013,ST,NOx,0.3126365105663279,2,14,312636.5105663279,mean_of_replicate_annual_plot_totals
2013,ST,NPOC,0.2874418633336935,2,14,287441.8633336935,mean_of_replicate_annual_plot_totals
2013,ST,OP,0.00898981447315226,2,14,8989.814473152259,mean_of_replicate_annual_plot_totals
2013,ST,Se,0.020284940917655387,2,14,20284.940917655385,mean_of_replicate_annual_plot_totals
2013,ST,TDS,0.18954001720258268,2,14,189540.01720258268,mean_of_replicate_annual_plot_totals
2013,ST,TKN,0.46456695941189297,2,14,464566.959411893,mean_of_replicate_annual_plot_totals
2013,ST,TN,0.27468183367104154,2,14,274681.83367104153,mean_of_replicate_annual_plot_totals
2013,ST,TP,0.0415497184757877,2,14,41549.7184757877,mean_of_replicate_annual_plot_totals
2013,ST,TSP,0.03046168485615379,2,14,30461.684856153788,mean_of_replicate_annual_plot_totals
2013,ST,TSS,62.815787937476316,2,14,62815787.937476315,mean_of_replicate_annual_plot_totals
2014,CT,ICP,0.06021892657128427,2,10,60218.92657128427,mean_of_replicate_annual_plot_totals
2014,CT,NH4,0.05158501820443231,2,10,51585.01820443231,mean_of_replicate_annual_plot_totals
2014,CT,NO2,0.048044431188733194,2,10,48044.43118873319,mean_of_replicate_annual_plot_totals
2014,CT,NO3,1.2011500744017993,2,10,1201150.0744017994,mean_of_replicate_annual_plot_totals
2014,CT,NOx,0.7204704724324666,2,10,720470.4724324667,mean_of_replicate_annual_plot_totals
2014,CT,NPOC,0.8405175790468653,2,10,840517.5790468653,mean_of_replicate_annual_plot_totals
2014,CT,OP,0.022916681066083355,2,10,22916.681066083354,mean_of_replicate_annual_plot_totals
2014,CT,Se,0.033998218849385906,2,10,33998.21884938591,mean_of_replicate_annual_plot_totals
2014,CT,TDS,0.5082603785984936,2,10,508260.3785984936,mean_of_replicate_annual_plot_totals
2014,CT,TKN,0.6757979312242637,2,10,675797.9312242637,mean_of_replicate_annual_plot_totals
2014,CT,TN,0.8881486211550321,2,10,888148.6211550321,mean_of_replicate_annual_plot_totals
2014,CT,TP,0.16936154583250873,2,10,169361.54583250874,mean_of_replicate_annual_plot_totals
2014,CT,TSP,0.053773834836322074,2,10,53773.83483632207,mean_of_replicate_annual_plot_totals
2014,CT,TSS,168.3976938835491,2,10,168397693.8835491,mean_of_replicate_annual_plot_totals
2014,MT,ICP,0.025069888735437886,2,8,25069.888735437886,mean_of_replicate_annual_plot_totals
2014,MT,NH4,0.02281433719455785,2,8,22814.33719455785,mean_of_replicate_annual_plot_totals
2014,MT,NO2,0.024012972422855217,2,8,24012.972422855215,mean_of_replicate_annual_plot_totals
2014,MT,NO3,0.363000095979834,2,8,363000.09597983403,mean_of_replicate_annual_plot_totals
2014,MT,NOx,0.22507077529409505,2,8,225070.77529409504,mean_of_replicate_annual_plot_totals
2014,MT,NPOC,0.22487881672203658,2,8,224878.81672203657,mean_of_replicate_annual_plot_totals
2014,MT,OP,0.015841401166056823,2,10,15841.401166056823,mean_of_replicate_annual_plot_totals
2014,MT,Se,0.01890765782022422,2,8,18907.65782022422,mean_of_replicate_annual_plot_totals
2014,MT,TDS,0.14782205900018824,2,8,147822.05900018825,mean_of_replicate_annual_plot_totals
2014,MT,TKN,0.2325943865932299,2,8,232594.3865932299,mean_of_replicate_annual_plot_totals
2014,MT,TN,0.2293741327348669,2,10,229374.1327348669,mean_of_replicate_annual_plot_totals
2014,MT,TP,0.050599236094334074,2,10,50599.236094334075,mean_of_replicate_annual_plot_totals
2014,MT,TSP,0.02299320902125714,2,8,22993.20902125714,mean_of_replicate_annual_plot_totals
2014,MT,TSS,29.60736509079365,2,10,29607365.09079365,mean_of_replicate_annual_plot_totals
2014,ST,ICP,0.027558985926329903,2,10,27558.985926329904,mean_of_replicate_annual_plot_totals
2014,ST,NH4,0.022388849233377854,2,10,22388.849233377856,mean_of_replicate_annual_plot_totals
2014,ST,NO2,0.024876184898529337,2,10,24876.184898529336,mean_of_replicate_annual_plot_totals
2014,ST,NO3,0.5346569191281487,2,10,534656.9191281487,mean_of_replicate_annual_plot_totals
2014,ST,NOx,0.3250639766184882,2,10,325063.9766184882,mean_of_replicate_annual_plot_totals
2014,ST,NPOC,0.35357904760207765,2,10,353579.04760207766,mean_of_replicate_annual_plot_totals
2014,ST,OP,0.010567609055864041,2,10,10567.60905586404,mean_of_replicate_annual_plot_totals
2014,ST,Se,0.01784870733199593,2,10,17848.70733199593,mean_of_replicate_annual_plot_totals
2014,ST,TDS,0.225817663538531,2,10,225817.663538531,mean_of_replicate_annual_plot_totals
2014,ST,TKN,0.34634102582476606,2,10,346341.0258247661,mean_of_replicate_annual_plot_totals
2014,ST,TN,0.32546343621398177,2,10,325463.43621398177,mean_of_replicate_annual_plot_totals
2014,ST,TP,0.07247739410234402,2,10,72477.39410234403,mean_of_replicate_annual_plot_totals
2014,ST,TSP,0.019602292742231894,2,10,19602.292742231893,mean_of_replicate_annual_plot_totals
2014,ST,TSS,55.956676431179886,2,10,55956676.43117989,mean_of_replicate_annual_plot_totals
2015,CT,ICP,0.021654402454262214,2,12,21654.402454262214,mean_of_replicate_annual_plot_totals
2015,CT,NH4,0.012127491306797002,2,12,12127.491306797001,mean_of_replicate_annual_plot_totals
2015,CT,NO2,0.05115589470563334,2,12,51155.894705633335,mean_of_replicate_annual_plot_totals
2015,CT,NO3,0.9844564878826673,2,12,984456.4878826672,mean_of_replicate_annual_plot_totals
2015,CT,NOx,0.2660369751099767,2,12,266036.9751099767,mean_of_replicate_annual_plot_totals
2015,CT,NPOC,0.2625152615479959,2,12,262515.2615479959,mean_of_replicate_annual_plot_totals
2015,CT,OP,0.013166455744748794,2,12,13166.455744748795,mean_of_replicate_annual_plot_totals
2015,CT,Se,0.029284998861908596,2,12,29284.998861908596,mean_of_replicate_annual_plot_totals
2015,CT,TDS,0.14908636987305665,2,12,149086.36987305665,mean_of_replicate_annual_plot_totals
