Date,Year,Irrigation,Rep,Treatment,PlantDate,HarvestDate,PreviousHarvestDate,SeasonYear,Crop,previous_crop,Season_STIR_PostHarvest,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Season_STIR_CalendarLegacy,Season_STIR_PlantLegacy,PostHarvest_minus_CalendarLegacy,PostHarvest_minus_PlantLegacy
2012-06-11,2012,3,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,66.4625,2011-11-15,False,0.0,35.75,21.125,30.712500000000006,45.337500000000006
2012-06-11,2012,3,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,72.8,2011-11-15,False,0.0,42.08749999999999,22.58749999999999,30.712500000000006,50.212500000000006
2012-06-12,2012,3,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,256.50625,2011-11-15,False,0.0,186.79375000000005,9.425000000000011,69.71249999999998,247.08125
2012-06-12,2012,3,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,66.4625,2011-11-15,False,0.0,35.75,21.125,30.712500000000006,45.337500000000006
2012-06-12,2012,3,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,72.8,2011-11-15,False,0.0,42.08749999999999,22.58749999999999,30.712500000000006,50.212500000000006
2012-06-26,2012,4,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-06-26,2012,4,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-06-26,2012,4,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-06-27,2012,4,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-06-27,2012,4,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-06-27,2012,4,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-07-16,2012,5,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-07-16,2012,5,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-07-16,2012,5,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-07-17,2012,5,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-07-17,2012,5,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-07-17,2012,5,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-07-24,2012,6,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-07-24,2012,6,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-07-24,2012,6,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-07-25,2012,6,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-07-25,2012,6,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-07-25,2012,6,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-07-31,2012,7,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-07-31,2012,7,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-07-31,2012,7,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-08-01,2012,7,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-01,2012,7,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-01,2012,7,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-08-08,2012,8,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-08,2012,8,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-08,2012,8,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-08-09,2012,8,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-09,2012,8,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-09,2012,8,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-08-19,2012,9,1,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-19,2012,9,1,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-19,2012,9,1,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2012-08-20,2012,9,2,CT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,274.38125,2011-11-15,False,0.0,204.66875000000005,27.30000000000001,69.71249999999998,247.08125
2012-08-20,2012,9,2,MT,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,84.3375,2011-11-15,False,0.0,53.625,39.0,30.712500000000006,45.337500000000006
2012-08-20,2012,9,2,ST,2012-05-03,2012-11-01,2011-11-15,2012,grain corn,grain corn,90.675,2011-11-15,False,0.0,59.96249999999999,40.46249999999999,30.712500000000006,50.212500000000006
2013-06-19,2013,1,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-06-19,2013,1,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-06-19,2013,1,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-06-20,2013,1,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-06-20,2013,1,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-06-20,2013,1,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-07-02,2013,2,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-07-02,2013,2,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-07-02,2013,2,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-07-03,2013,2,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-07-03,2013,2,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-07-03,2013,2,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-07-11,2013,3,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-07-11,2013,3,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-07-11,2013,3,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-07-12,2013,3,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-07-12,2013,3,2,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-07-12,2013,3,2,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-07-30,2013,4,1,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
2013-07-30,2013,4,1,MT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,74.83124999999998,2012-11-01,False,0.0,44.11874999999998,17.875,30.712500000000006,56.95624999999998
2013-07-30,2013,4,1,ST,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,79.70624999999998,2012-11-01,False,0.0,44.118750000000006,17.875,35.58749999999998,61.83124999999998
2013-07-31,2013,4,2,CT,2013-05-14,2013-09-30,2012-11-01,2013,silage corn,grain corn,187.60624999999993,2012-11-01,False,0.0,54.518749999999955,17.875,133.08749999999998,169.73124999999993
