Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
NPOC,ST,ML,1,457093.8959999996,457093.8959999996,0.9659424783965053,,,0.0,0.0,,82226.05893079871,473210.264817,0.17376220476239498
OP,CT,Bayes,11,76833.51457097138,109049.27854710528,0.9938792176064081,0.24511208965065212,0.7069054699709465,0.36363636363636365,122039.27379632072,0.95,67581.78870865265,109720.8560309091,0.6159429588264824
OP,CT,ML,11,131735.69626049942,181639.46713950863,1.6554689209528186,0.40827440535852827,1.1774670552090056,0.0,165953.72898897994,,111223.58611703469,109720.8560309091,1.0136959384066624
OP,MT,Bayes,10,64887.58607096856,110848.0358290547,1.1971460007684105,0.3278187476920558,0.8560268567787359,0.6,97983.84421601753,0.95,66195.34770525947,92593.58153299999,0.7149021196643928
OP,MT,ML,10,180935.65208186698,297165.4269913252,3.2093523338377032,0.8788283653839646,2.2948677846037064,0.0,190109.13713345752,,73513.15500487495,92593.58153299999,0.7939335944001167
OP,ST,Bayes,11,58068.74962825396,75606.81749537346,0.6080703848743955,0.13548770277743413,0.38434581145140323,0.5454545454545454,102260.13819463529,0.95,53210.33173136332,124338.92420363637,0.42794589121760435
OP,ST,ML,11,91570.23509759874,130648.29109455283,1.0507432964482086,0.2341222315471967,0.6641480903299197,0.09090909090909091,105398.21297427292,,100844.56770481404,124338.92420363637,0.8110458438554253
Se,CT,Bayes,2,6204.156057248644,6326.742940577695,9.366492060325859,8.263148785950516,16.526297571901033,0.0,2204.4354827732227,0.95,5850.2649388467435,675.4655745,8.661085271706535
Se,CT,ML,2,52952.77858501399,72970.57749740202,108.03004661106088,95.30444725208143,190.60889450416286,0.0,86048.77478694009,,41758.67271447582,675.4655745,61.82205917064959
Se,MT,Bayes,1,4266.016274749325,4266.016274749325,6.219183541569579,,,0.0,1320.7540114549292,0.95,4092.275783704528,685.944746,5.9658971186354535
Se,MT,ML,1,14281.283336692703,14281.283336692703,20.819874224523474,,,0.0,32511.170279228885,,58076.37954910645,685.944746,84.66626486720908
Se,ST,Bayes,2,2939.832679492306,3043.7605592853774,2.1351518733417345,25.917221964139674,51.83444392827935,0.0,1016.9123170126516,0.95,2802.5983220636867,1425.5475675,1.965980221185209
Se,ST,ML,2,25978.719539899088,36384.2274982414,25.522983818806456,309.8069252487692,619.6138504975384,0.0,46036.588774617296,,45059.758654036865,1425.5475675,31.608737359117878
TDS,CT,Bayes,3,428443945.6952141,595833766.7525538,0.4616655996225692,0.5957325879110917,1.455477807586029,0.3333333333333333,331806691.8050542,0.95,387626590.0743839,1290617640.2133334,0.30034192776902613
TDS,CT,ML,3,503036103.01004463,751100449.5525292,0.5819697686980132,0.7509729047950013,1.834756767059158,0.0,414804066.24241567,,595515960.5949848,1290617640.2133334,0.4614193561592329
TDS,MT,Bayes,3,451524504.49421126,571328796.7624091,0.3888437905770634,0.37686594776459487,0.8796381144691607,0.0,278521279.7829339,0.95,411530595.6009461,1469301582.3,0.2800858588587026
TDS,MT,ML,3,783939757.8652086,959398429.7259156,0.6529622245584888,0.632848546321183,1.477123909263984,0.0,580913129.7717594,,959263240.9292401,1469301582.3,0.6528702156759667
TDS,ST,Bayes,3,302336107.3357399,354779455.8791606,0.22599276592156084,0.9083995236421396,2.214957614416852,0.3333333333333333,270137121.7923146,0.95,272049124.46421236,1569870851.54,0.17329395230017786
TDS,ST,ML,3,293727509.0537309,381407476.2440204,0.24295468373711773,0.9765795735692997,2.3812015597372995,0.0,322818070.42582846,,969598799.6465034,1569870851.54,0.6176296595961087
TKN,CT,Bayes,10,1292609.648958131,1550300.2912675925,1.1196756583529055,0.290310779164392,0.9446218941344983,0.2,1085588.6949912913,0.95,1364272.5310645238,1384597.6553139999,0.9853205556347222
TKN,CT,ML,10,1490689.9503135928,2013971.848029621,1.454553848405074,0.37713837745497164,1.2271441297761596,0.0,1532591.9818622658,,916589.4953993026,1384597.6553139999,0.6619897786779351
TKN,MT,Bayes,9,806379.25968756,962790.3088504464,0.9914176533263555,0.1764813757845508,0.5931350868867254,0.2222222222222222,769466.249575029,0.95,902074.3288215478,971124.8388811112,0.9288963609054419
TKN,MT,ML,9,1283277.677001885,2175146.820457888,2.239822042822012,0.39870873219126646,1.3400175370316054,0.0,1421889.3697026817,,579604.3908099828,971124.8388811112,0.5968381896994606
TKN,ST,Bayes,10,787261.2357013985,987741.112204703,1.0453299156573062,0.24682210019352038,0.8403174671893925,0.2,827109.9135160332,0.95,851343.0307951778,944908.490047,0.9009793432513573
TKN,ST,ML,10,928736.577177338,1782636.6465222754,1.8865706735618457,0.44545490264596405,1.5165722001598168,0.0,1181128.8018140842,,524795.5288410655,944908.490047,0.5553929659526734
TN,CT,Bayes,5,1436547.2222000924,1803607.1850978064,0.9874726318645203,0.327783240068915,0.8780079259392973,0.4,1967915.7627083003,0.95,1233171.1077825965,1826488.2761279996,0.6751596075923436
TN,CT,ML,5,1141536.472065235,1380020.8706454427,0.755559665332739,0.250801680144315,0.6718033019604776,0.0,423830.96728019865,,2251278.3212289438,1826488.2761279996,1.2325720075255358
TN,MT,Bayes,5,2446988.5144677195,2703955.139886029,6.792714607417109,3.342403830792877,9.036686612892456,0.0,1884010.1547166687,0.95,2167930.3332542414,398066.943212,5.446145102532813
TN,MT,ML,5,596899.60298113,663683.0682898496,1.6672649653713882,0.8203896570480325,2.218045636168012,0.0,489331.605695404,,736835.851212118,398066.943212,1.851035017544018
TN,ST,Bayes,5,2485383.596019116,2847612.313153165,4.450037590595278,2.3051191097010024,6.6650703846063335,0.2,1992985.7801658907,0.95,2191949.1580209015,639907.473854,3.425415778970902
TN,ST,ML,5,573312.3393951583,602343.3260928774,0.9412975323840441,0.48759204515452315,1.4098340021789952,0.0,303003.4829853726,,707659.0751639022,639907.473854,1.1058771839338766
TP,CT,Bayes,12,453786.57313457615,629864.1580302725,0.9097056672831002,0.16838304517157032,0.620503426364276,0.5,988674.9655507576,0.95,323442.0199784154,692382.3613316667,0.46714364495989724
TP,CT,ML,12,381172.62257013266,574561.4666450548,0.8298326166772855,0.1535988485112184,0.5660226164083546,0.0,416449.8217828225,,254050.29221655577,692382.3613316667,0.3669219587395872
TP,MT,Bayes,11,410967.2642958708,693429.871864983,1.2853008573508495,0.22268870520180867,0.7605859634068998,0.5454545454545454,785164.489161002,0.95,325128.7585864974,539507.8264354545,0.6026395589747668
TP,MT,ML,11,1398619.1317260363,3865419.02902523,7.16471354005034,1.2413442131083496,4.239770415796219,0.0,1498570.3960359206,,242015.47062853022,539507.8264354545,0.44858565301551634
TP,ST,Bayes,12,281534.6935346941,429067.3827759907,0.4660382266647879,0.07249659312754804,0.2505006735890932,0.6666666666666666,766169.7420427179,0.95,200394.58947844862,920669.9326933334,0.21766170737455612
TP,ST,ML,12,445966.0640828717,1130530.120975733,1.227942915077582,0.19101797407332913,0.6600328251123057,0.0,605438.1717338044,,619541.4532128432,920669.9326933334,0.6729246076283092
TSP,CT,ML,3,234273.88865606193,330738.0731493916,7.741519972177493,3.92998152673535,9.624350601243481,0.0,184377.25435829116,,26924.05870107573,42722.627383,0.6302060605895515
TSP,MT,ML,3,57734.67529806387,72231.20762869112,17.872024004844818,9.711891626003988,23.706325016805195,0.0,65792.6235969929,,9305.25341817432,4041.5795999999996,2.3023803411355104
TSP,ST,ML,3,92173.84239325732,130731.70814930482,31.937946801849094,11.444007613129212,24.3389557460919,0.0,74613.149478253,,22778.522701533842,4093.3034600000005,5.564826288626507
TSS,CT,Bayes,12,778990626.7997612,1090462080.7380884,0.9799954081582376,0.23519650926540453,0.7926888391029395,0.3333333333333333,1014321585.709747,0.95,645372111.7735225,1112721622.632352,0.5799942219571266
TSS,CT,ML,12,408234054.3637869,561626385.847251,0.5047321580024825,0.12113448765977326,0.4082626765944058,0.08333333333333333,360597279.90027446,,768630698.0158653,1112721622.632352,0.690766389708079
TSS,MT,Bayes,11,445471972.364422,714033144.7143148,1.0794369196206903,0.22087131476636568,0.6911008130907398,0.6363636363636364,700572046.1188626,0.95,397415209.51446515,661486680.449306,0.6007909475131474
TSS,MT,ML,11,1020010609.7966899,2621839115.929942,3.96355541754687,0.8110114452362377,2.5376345036997603,0.09090909090909091,1052232173.8857028,,487822490.7890833,661486680.449306,0.7374638147781545
TSS,ST,Bayes,12,419951649.42283076,700999037.574889,0.6210281845099372,0.14179013766132945,0.3969847591641347,0.5,722988195.3726403,0.95,367763662.8037884,1128771696.77582,0.3258087209789671
TSS,ST,ML,12,305867759.8821325,662833201.6707159,0.587216355232867,0.13407038508430213,0.3753709560594516,0.0,407916647.9481068,,926106077.5227128,1128771696.77582,0.8204547298342141
Volume,CT,Bayes,12,391.4853550697149,506.1561945996753,0.8762409231396319,0.25730646329946577,0.7809173505856293,0.25,215.67638510816832,0.95,,,
Volume,CT,ML,12,251.5384125719867,349.38033121061795,0.6048357151668426,0.177608845509243,0.539037485872351,0.08333333333333333,697.2615751282634,,,,
Volume,MT,Bayes,11,411.8281901861283,451.49335750173896,0.8710141928709711,0.2190494945523452,0.632895574319801,0.0,153.73072963590107,0.95,,,
Volume,MT,ML,11,293.0062487533829,451.4518152906056,0.8709340502622281,0.21902933965925508,0.6328373411672267,0.09090909090909091,877.4517271294881,,,,
Volume,ST,Bayes,12,404.45983631262226,454.90083055464754,0.8321471670056654,0.19837628666532614,0.6363926690780454,0.16666666666666666,155.66391058923764,0.95,,,
Volume,ST,ML,12,153.92377617642413,208.6158440570495,0.3816196233647343,0.09097463381882896,0.29184733219669573,0.08333333333333333,357.62986167218696,,,,
