Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
ML,full_record_model_only,NO2,ST,37.5411267988327,37.2214344868441,23.687682136465785,55.29759902237595,2000
ML,full_record_model_only,NO3,CT,345.95812031220083,344.0477842377187,224.25634224752787,489.16551840646184,2000
ML,full_record_model_only,NO3,MT,292.937829745776,287.5770890535238,181.60084509354948,438.0250017896769,2000
ML,full_record_model_only,NO3,ST,294.5204137111679,288.7685428497204,186.8139285205951,427.5189016460107,2000
ML,full_record_model_only,OP,CT,35.35190878230672,34.817201980194454,23.217635430956534,48.96795438587081,2000
ML,full_record_model_only,OP,MT,33.32521104098354,32.90099989421425,20.689037508050937,48.34403243309876,2000
ML,full_record_model_only,OP,ST,33.42975576527572,32.760025679275984,21.523820909436804,48.2912419512396,2000
ML,full_record_model_only,Se,CT,37.07231312143526,36.714276019656175,24.563276643265112,52.33306349711994,2000
ML,full_record_model_only,Se,MT,34.15740137389443,33.62485279714143,20.566161450483065,51.049796229841895,2000
ML,full_record_model_only,Se,ST,33.901793709757975,33.34819772414626,21.59235093231029,49.015965582759186,2000
ML,full_record_model_only,TDS,CT,16238.123896839114,15579.20985561886,7261.513975935224,28531.194430621334,2000
ML,full_record_model_only,TDS,MT,20487.38958957988,19724.330564602496,7842.950883730139,38465.83827258665,2000
ML,full_record_model_only,TDS,ST,19584.54954216228,18837.03844178628,8338.997717377191,35254.28305272467,2000
ML,full_record_model_only,TKN,CT,160.0883365665473,156.74291054603395,97.8966611307962,241.6260661552211,2000
ML,full_record_model_only,TKN,MT,132.3523506380083,128.54608331389238,72.76373069281252,220.24256167987764,2000
ML,full_record_model_only,TKN,ST,127.0060491429914,120.08036835377811,72.41834032999176,215.67836811654576,2000
ML,full_record_model_only,TN,CT,184.9842918733691,182.17707926719777,117.63051255179683,267.26645045375085,2000
ML,full_record_model_only,TN,MT,129.96720485665958,127.29404230823606,83.25985157150714,191.46365149979184,2000
ML,full_record_model_only,TN,ST,134.3399886856597,132.10311212995816,87.10152944930456,192.42320296059313,2000
ML,full_record_model_only,TP,CT,65.33698442623634,63.91734110245636,42.17757485452792,95.81196414279343,2000
ML,full_record_model_only,TP,MT,66.33283638305736,63.044991807667884,36.579803091997,112.13993626010046,2000
ML,full_record_model_only,TP,ST,68.44647642685055,65.55715008883355,38.74533954590074,113.09730384819545,2000
ML,full_record_model_only,TSS,CT,69557.23995780671,67982.03797879492,42591.70940636119,104721.37517839368,2000
ML,full_record_model_only,TSS,MT,42841.34817284039,40686.71315432943,22393.385979345494,75117.07993527716,2000
ML,full_record_model_only,TSS,ST,49542.62689701905,47206.33107340902,25976.65257075731,86431.25574410314,2000
ML,observed_plus_imputed_sensitivity,NH4,CT,15.146471287744937,14.783472143307534,8.572348275152729,24.012658108367088,2000
ML,observed_plus_imputed_sensitivity,NH4,MT,13.465721192961519,13.051469026033546,7.917738788467084,21.08404588493388,2000
ML,observed_plus_imputed_sensitivity,NH4,ST,10.204196476671811,9.8578616577576,5.7465290353475496,16.87833716965215,2000
ML,observed_plus_imputed_sensitivity,NO2,CT,11.744811874837042,11.440843668633015,6.38949431255092,19.064589886362715,2000
ML,observed_plus_imputed_sensitivity,NO2,MT,10.405552287975777,10.058244060156438,5.73953964646348,16.543146760947728,2000
ML,observed_plus_imputed_sensitivity,NO2,ST,7.759561936500469,7.513924051630966,3.919078594359288,12.878397978534085,2000
ML,observed_plus_imputed_sensitivity,NO3,CT,110.92870155070281,109.33939248863024,65.79005624640463,165.45265099547856,2000
ML,observed_plus_imputed_sensitivity,NO3,MT,104.20948507627591,102.75947593557643,65.02421962972365,153.29991412285406,2000
ML,observed_plus_imputed_sensitivity,NO3,ST,76.69136082384992,75.01835953813907,43.98740753821214,118.62997096196325,2000
ML,observed_plus_imputed_sensitivity,OP,CT,6.567124087360742,6.3236267006785445,3.075758762170783,11.411228308126645,2000
ML,observed_plus_imputed_sensitivity,OP,MT,6.69983259668203,6.480015568941612,3.312098083200799,11.449050758784628,2000
ML,observed_plus_imputed_sensitivity,OP,ST,4.8301693051977574,4.621456351696883,2.1846233053250472,8.862495599466873,2000
ML,observed_plus_imputed_sensitivity,Se,CT,8.309143005212613,8.062536168979564,4.59275573485148,13.453294268088126,2000
ML,observed_plus_imputed_sensitivity,Se,MT,8.060251070654553,7.8048577972696425,4.260923297255384,13.611960569617617,2000
ML,observed_plus_imputed_sensitivity,Se,ST,6.172717342712985,5.956225255562095,3.4394323044868926,10.12014110419321,2000
ML,observed_plus_imputed_sensitivity,TDS,CT,2393.343528320869,1888.1160140663903,1219.412916077255,5750.615755521792,2000
ML,observed_plus_imputed_sensitivity,TDS,MT,2487.3346082333915,1968.8803289478979,1449.5183194600343,5864.022861540551,2000
ML,observed_plus_imputed_sensitivity,TDS,ST,1891.1576849816802,1580.1663116290601,1363.1288740583084,4373.996901975183,2000
