Method,Scenario,Year,Analyte,Treatment,Median_95_interval_kg
Bayes,model_only,2015,OP,CT,"0.03497 (0.01014, 0.06294)"
Bayes,model_only,2015,OP,MT,"0.0254 (0.004478, 0.04785)"
Bayes,model_only,2015,OP,ST,"0.02517 (0.005575, 0.04569)"
Bayes,model_only,2015,Se,CT,"0.002517 (0.001746, 0.003309)"
Bayes,model_only,2015,Se,MT,"0.002141 (0.001496, 0.002738)"
Bayes,model_only,2015,Se,ST,"0.002041 (0.001449, 0.002608)"
Bayes,model_only,2015,TDS,CT,"295.3 (187.8, 425.6)"
Bayes,model_only,2015,TDS,MT,"302.3 (207.6, 408.4)"
Bayes,model_only,2015,TDS,ST,"292.7 (202.8, 397.2)"
Bayes,model_only,2015,TKN,CT,"0.7693 (0.3988, 1.233)"
Bayes,model_only,2015,TKN,MT,"0.1706 (-0.1427, 0.4958)"
Bayes,model_only,2015,TKN,ST,"0.1542 (-0.1673, 0.4592)"
Bayes,model_only,2015,TN,CT,"3.245 (2.523, 4.153)"
Bayes,model_only,2015,TN,MT,"2.99 (2.51, 3.516)"
Bayes,model_only,2015,TN,ST,"2.854 (2.361, 3.347)"
Bayes,model_only,2015,TP,CT,"0.3725 (0.07161, 0.6925)"
Bayes,model_only,2015,TP,MT,"0.1071 (-0.1507, 0.3771)"
Bayes,model_only,2015,TP,ST,"0.1046 (-0.1382, 0.3717)"
Bayes,model_only,2015,TSS,CT,"566.1 (336.7, 833.5)"
Bayes,model_only,2015,TSS,MT,"75.59 (-127.9, 268)"
Bayes,model_only,2015,TSS,ST,"126.1 (-59.79, 305.5)"
Bayes,model_only,2016,NH4,CT,"0.01531 (0.006891, 0.02321)"
Bayes,model_only,2016,NH4,MT,"0.01269 (0.00512, 0.02013)"
Bayes,model_only,2016,NH4,ST,"0.01327 (0.00516, 0.02082)"
Bayes,model_only,2016,NO2,CT,"0.03059 (-0.137, 0.213)"
Bayes,model_only,2016,NO2,MT,"0.02698 (-0.1225, 0.196)"
Bayes,model_only,2016,NO2,ST,"0.02763 (-0.123, 0.1902)"
Bayes,model_only,2016,NO3,CT,"0.5579 (0.2529, 0.7844)"
Bayes,model_only,2016,NO3,MT,"0.5198 (0.2157, 0.7494)"
Bayes,model_only,2016,NO3,ST,"0.498 (0.2023, 0.7201)"
Bayes,model_only,2016,OP,CT,"0.00264 (-0.005722, 0.0138)"
Bayes,model_only,2016,OP,MT,"0.00547 (-0.001974, 0.01666)"
Bayes,model_only,2016,OP,ST,"0.005141 (-0.00216, 0.01589)"
Bayes,model_only,2016,Se,CT,"0.000677 (0.0001982, 0.001234)"
Bayes,model_only,2016,Se,MT,"0.0005728 (0.0001421, 0.001071)"
Bayes,model_only,2016,Se,ST,"0.0005673 (0.000146, 0.001053)"
Bayes,model_only,2016,TDS,CT,"90.58 (36.24, 165.3)"
Bayes,model_only,2016,TDS,MT,"82 (29.57, 150.3)"
Bayes,model_only,2016,TDS,ST,"81.22 (28.95, 149.3)"
Bayes,model_only,2016,TKN,CT,"0.03448 (-0.1209, 0.1726)"
Bayes,model_only,2016,TKN,MT,"0.01427 (-0.1375, 0.1359)"
Bayes,model_only,2016,TKN,ST,"0.0175 (-0.1159, 0.1399)"
Bayes,model_only,2016,TN,CT,"0.5805 (0.2515, 0.8827)"
Bayes,model_only,2016,TN,MT,"0.4711 (0.1878, 0.7474)"
Bayes,model_only,2016,TN,ST,"0.468 (0.1852, 0.7393)"
Bayes,model_only,2016,TP,CT,"-0.01042 (-0.1255, 0.08956)"
Bayes,model_only,2016,TP,MT,"0.01789 (-0.07745, 0.1132)"
Bayes,model_only,2016,TP,ST,"0.01519 (-0.07858, 0.1178)"
Bayes,model_only,2016,TSS,CT,"57.04 (-23.67, 172.5)"
Bayes,model_only,2016,TSS,MT,"59.8 (-6.965, 171.3)"
Bayes,model_only,2016,TSS,ST,"75.82 (3.411, 191.9)"
Bayes,model_only,2017,NH4,CT,"0.03641 (-0.01624, 0.0836)"
Bayes,model_only,2017,NH4,MT,"0.02962 (-0.01476, 0.07026)"
Bayes,model_only,2017,NH4,ST,"0.03032 (-0.01259, 0.07044)"
Bayes,model_only,2017,NO2,CT,"0.01694 (-0.5383, 0.6976)"
Bayes,model_only,2017,NO2,MT,"0.01733 (-0.4449, 0.5992)"
Bayes,model_only,2017,NO2,ST,"0.01746 (-0.4433, 0.5886)"
Bayes,model_only,2017,NO3,CT,"3.387 (2.612, 4.189)"
Bayes,model_only,2017,NO3,MT,"3.036 (2.508, 3.557)"
Bayes,model_only,2017,NO3,ST,"2.895 (2.38, 3.432)"
Bayes,model_only,2017,OP,CT,"-0.005157 (-0.04606, 0.03478)"
Bayes,model_only,2017,OP,MT,"0.001584 (-0.03173, 0.03511)"
Bayes,model_only,2017,OP,ST,"0.001993 (-0.02925, 0.03315)"
Bayes,model_only,2017,Se,CT,"0.00261 (0.001094, 0.003923)"
Bayes,model_only,2017,Se,MT,"0.001969 (0.0007128, 0.002994)"
Bayes,model_only,2017,Se,ST,"0.001894 (0.0006779, 0.002874)"
Bayes,model_only,2017,TDS,CT,"336 (219.8, 473.6)"
Bayes,model_only,2017,TDS,MT,"304.4 (210.9, 418.3)"
Bayes,model_only,2017,TDS,ST,"296.7 (203.2, 404.1)"
Bayes,model_only,2017,TKN,CT,"0.927 (0.549, 1.349)"
Bayes,model_only,2017,TKN,MT,"0.3841 (0.09254, 0.6835)"
Bayes,model_only,2017,TKN,ST,"0.3745 (0.09482, 0.6648)"
Bayes,model_only,2017,TN,CT,"1.873 (-0.7785, 4.793)"
Bayes,model_only,2017,TN,MT,"1.351 (-1.005, 3.785)"
Bayes,model_only,2017,TN,ST,"1.292 (-0.9502, 3.612)"
Bayes,model_only,2017,TP,CT,"0.04118 (-0.237, 0.3199)"
Bayes,model_only,2017,TP,MT,"-0.02083 (-0.2475, 0.2013)"
Bayes,model_only,2017,TP,ST,"-0.01175 (-0.2261, 0.1867)"
Bayes,model_only,2017,TSS,CT,"619.6 (378.7, 911.4)"
Bayes,model_only,2017,TSS,MT,"314.1 (140.4, 492.9)"
Bayes,model_only,2017,TSS,ST,"368.7 (211, 544.5)"
Bayes,model_only,2018,NH4,CT,"0.03653 (-0.002121, 0.09869)"
Bayes,model_only,2018,NH4,MT,"0.03698 (-0.003433, 0.1009)"
Bayes,model_only,2018,NH4,ST,"0.03835 (0.001049, 0.1015)"
Bayes,model_only,2018,NO2,CT,"0.04982 (-0.4339, 0.6688)"
Bayes,model_only,2018,NO2,MT,"0.05445 (-0.4257, 0.6612)"
Bayes,model_only,2018,NO2,ST,"0.05367 (-0.4195, 0.6534)"
Bayes,model_only,2018,NO3,CT,"2.548 (1.414, 4.737)"
Bayes,model_only,2018,NO3,MT,"2.656 (1.523, 4.688)"
Bayes,model_only,2018,NO3,ST,"2.598 (1.481, 4.598)"
Bayes,model_only,2018,OP,CT,"0.1195 (0.0349, 0.266)"
Bayes,model_only,2018,OP,MT,"0.1105 (0.0266, 0.2511)"
Bayes,model_only,2018,OP,ST,"0.1088 (0.02413, 0.241)"
Bayes,model_only,2018,Se,CT,"0.002447 (0.001316, 0.004426)"
Bayes,model_only,2018,Se,MT,"0.002243 (0.001195, 0.004069)"
Bayes,model_only,2018,Se,ST,"0.002246 (0.001186, 0.004052)"
Bayes,model_only,2018,TDS,CT,"307.5 (177.8, 552.2)"
Bayes,model_only,2018,TDS,MT,"324.6 (190.5, 558)"
Bayes,model_only,2018,TDS,ST,"323 (186.4, 556)"
Bayes,model_only,2018,TKN,CT,"1.556 (0.3846, 3.408)"
Bayes,model_only,2018,TKN,MT,"1.114 (-0.09298, 2.77)"
Bayes,model_only,2018,TKN,ST,"1.125 (-0.07654, 2.725)"
Bayes,model_only,2018,TN,CT,"2.034 (-0.3554, 5.576)"
Bayes,model_only,2018,TN,MT,"1.98 (-0.5236, 5.393)"
Bayes,model_only,2018,TN,ST,"1.977 (-0.4468, 5.412)"
Bayes,model_only,2018,TP,CT,"0.4779 (-0.225, 1.713)"
Bayes,model_only,2018,TP,MT,"0.2604 (-0.4906, 1.464)"
Bayes,model_only,2018,TP,ST,"0.2414 (-0.4974, 1.427)"
Bayes,model_only,2018,TSS,CT,"1136 (517.7, 2366)"
Bayes,model_only,2018,TSS,MT,"712.7 (107.4, 1760)"
Bayes,model_only,2018,TSS,ST,"752.7 (151.8, 1844)"
Bayes,model_only,2019,NH4,CT,"0.01538 (0.002418, 0.03137)"
Bayes,model_only,2019,NH4,MT,"0.015 (0.001644, 0.03058)"
Bayes,model_only,2019,NH4,ST,"0.01538 (0.002418, 0.03137)"
Bayes,model_only,2019,NO2,CT,"0.00343 (-0.1153, 0.1571)"
Bayes,model_only,2019,NO2,MT,"0.003796 (-0.114, 0.1559)"
Bayes,model_only,2019,NO2,ST,"0.00343 (-0.1153, 0.1571)"
Bayes,model_only,2019,NO3,CT,"0.7032 (0.4417, 1.005)"
Bayes,model_only,2019,NO3,MT,"0.7155 (0.4495, 1.021)"
Bayes,model_only,2019,NO3,ST,"0.7032 (0.4417, 1.005)"
Bayes,model_only,2019,OP,CT,"0.03422 (0.01452, 0.05782)"
Bayes,model_only,2019,OP,MT,"0.03496 (0.01481, 0.05848)"
Bayes,model_only,2019,OP,ST,"0.03422 (0.01452, 0.05782)"
Bayes,model_only,2019,Se,CT,"0.0006231 (0.0002926, 0.0009672)"
Bayes,model_only,2019,Se,MT,"0.0006213 (0.0002928, 0.0009621)"
Bayes,model_only,2019,Se,ST,"0.0006231 (0.0002926, 0.0009672)"
Bayes,model_only,2019,TDS,CT,"87.03 (54.18, 121.9)"
Bayes,model_only,2019,TDS,MT,"87.54 (54.35, 123)"
Bayes,model_only,2019,TDS,ST,"87.03 (54.18, 121.9)"
Bayes,model_only,2019,TKN,CT,"0.3783 (0.09026, 0.6779)"
Bayes,model_only,2019,TKN,MT,"0.3742 (0.09282, 0.6664)"
Bayes,model_only,2019,TKN,ST,"0.3783 (0.09026, 0.6779)"
