Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
Bayes,model_only,2013,NO3,ST,3.949890019576465,3.963838574859067,2.9484514603336045,4.800815567428844,1500
Bayes,model_only,2013,OP,CT,-0.05684010464602006,-0.057655908663948464,-0.14202751841801983,0.03767574154762041,1500
Bayes,model_only,2013,OP,MT,-0.056564553792155636,-0.05748463990700538,-0.14474034534097646,0.042214918449015336,1500
Bayes,model_only,2013,OP,ST,-0.05984584183041499,-0.061273106639917876,-0.14765887079084547,0.03572443626731387,1500
Bayes,model_only,2013,Se,CT,0.0030126504648038117,0.00305634364609579,0.0012637962538057021,0.004650767985792423,1500
Bayes,model_only,2013,Se,MT,0.003000353430119303,0.003042252105764697,0.0012448833589593846,0.004616807263579357,1500
Bayes,model_only,2013,Se,ST,0.003013455977919245,0.0030579733650888887,0.0012596061511200875,0.004654879026718283,1500
Bayes,model_only,2013,TDS,CT,450.61170158762724,450.679900205643,277.7105111844591,623.7471001931908,1500
Bayes,model_only,2013,TDS,MT,455.3220262956357,455.96131629953317,277.72327732759504,635.3062137158761,1500
Bayes,model_only,2013,TDS,ST,454.86951121887597,455.4111659670298,277.45483239685564,631.3525930663244,1500
Bayes,model_only,2013,TKN,CT,2.131958192202656,2.1230435947519184,1.3067935504728918,3.0241284272998072,1500
Bayes,model_only,2013,TKN,MT,2.0745840969115035,2.0738527000592235,1.2469523482247078,3.001677687652793,1500
Bayes,model_only,2013,TKN,ST,2.0876653175840287,2.080106867745025,1.2751362294087838,2.98203882953729,1500
Bayes,model_only,2013,TN,CT,1.538302356657223,1.5790978344302165,-1.7132618423037884,4.4385365981158476,1500
Bayes,model_only,2013,TN,MT,1.5327296342316707,1.5930511695882812,-1.7156238445847596,4.523553936012575,1500
Bayes,model_only,2013,TN,ST,1.552113556779319,1.5974953630795112,-1.7229288692135123,4.486179608796141,1500
Bayes,model_only,2013,TP,CT,-0.19194419148141742,-0.1799716869329276,-0.8358108515924081,0.4065658694893167,1500
Bayes,model_only,2013,TP,MT,-0.20968023975139902,-0.1956619661833135,-0.9079366833520163,0.3884176149672362,1500
Bayes,model_only,2013,TP,ST,-0.2366682541137319,-0.22385184949203957,-0.9081297020125076,0.3743477862305033,1500
Bayes,model_only,2013,TSS,CT,-70.33479638013797,-49.919067030240726,-670.5299526864592,440.61155373238245,1500
Bayes,model_only,2013,TSS,MT,-190.9465552487734,-173.99190496910524,-848.2357624336594,350.03431062076214,1500
Bayes,model_only,2013,TSS,ST,-132.8905638107154,-113.96808444325261,-750.8068758729404,390.6946164822638,1500
Bayes,model_only,2014,NH4,CT,0.0353663683331093,0.03504453327572567,0.01036178296623424,0.06204718317848696,1500
Bayes,model_only,2014,NH4,MT,0.025917407519366924,0.02570467545829385,0.0036758462297320363,0.0504211972590394,1500
Bayes,model_only,2014,NH4,ST,0.037128333184759534,0.03662705252572348,0.009479777778582164,0.06753928907437032,1500
Bayes,model_only,2014,NO2,CT,0.11653193541579551,0.10954931033977161,-0.30138851670430655,0.5652076157400769,1500
Bayes,model_only,2014,NO2,MT,0.09018626372303346,0.08736321749647406,-0.25773207671700615,0.46061059153665634,1500
Bayes,model_only,2014,NO2,ST,0.11758952293575396,0.11128579034337208,-0.3181306259613411,0.5808166058936329,1500
Bayes,model_only,2014,NO3,CT,2.6392917056616096,2.6348589587077482,2.0809982973370555,3.195473636668176,1500
Bayes,model_only,2014,NO3,MT,2.143303014993887,2.1432319944443607,1.647351482630759,2.6524030884337595,1500
Bayes,model_only,2014,NO3,ST,2.713205767736819,2.7129021823212094,2.0783288027508,3.348258745260134,1500
Bayes,model_only,2014,OP,CT,0.04297304556215431,0.043068160029544694,0.018619318036529595,0.0671733888932758,1500
Bayes,model_only,2014,OP,MT,0.040029122698836364,0.040189745853198136,0.010986957662746823,0.06955828422663483,1500
Bayes,model_only,2014,OP,ST,0.03780222002430686,0.038356148570793634,0.011988681731849405,0.0640894734163819,1500
Bayes,model_only,2014,Se,CT,0.002244265501057138,0.002242698341712679,0.001597198844729762,0.0028965249966350012,1500
Bayes,model_only,2014,Se,MT,0.0017726000384734324,0.001764237160375986,0.001213124793914597,0.002353050893055365,1500
Bayes,model_only,2014,Se,ST,0.0022571586376638276,0.0022550938265950477,0.0015658599754263779,0.0029772954868786724,1500
Bayes,model_only,2014,TDS,CT,281.5761743399829,280.20596155629005,184.47472246355,387.0571732468597,1500
Bayes,model_only,2014,TDS,MT,235.7350564054482,234.00046420074918,150.5014485357261,328.1312878557127,1500
Bayes,model_only,2014,TDS,ST,292.19703055846486,289.7420273108436,186.47443578617577,410.85958649057017,1500
Bayes,model_only,2014,TKN,CT,1.2886026482387232,1.280644566398994,0.7659697643240702,1.8833642421957877,1500
Bayes,model_only,2014,TKN,MT,0.8684764506388429,0.8638091702413544,0.4026405968246064,1.3601434516687503,1500
Bayes,model_only,2014,TKN,ST,1.1858725934944843,1.1697511289391538,0.6316229171884606,1.801548289679141,1500
Bayes,model_only,2014,TN,CT,2.234223410644036,2.2236823051149934,1.5416270964814291,3.010906394912365,1500
Bayes,model_only,2014,TN,MT,2.2913386983159953,2.27118586940375,1.4307647285712208,3.2566308723060557,1500
Bayes,model_only,2014,TN,ST,2.30199430307339,2.2889871055519073,1.4963225143039036,3.1887845854124386,1500
