Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
ML,full_record_model_only,2021,ST,133.66426526722327,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2022,ST,270.4832419419223,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2023,ST,422.44939990193336,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2024,ST,386.4015863220702,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2025,ST,711.1886775184013,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
Observed,observed_reference,2011,CT,96.87930333333334,60.33735195833334,139.71091191666667,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2012,CT,105.28233333333333,65.86413333333333,146.23775833333332,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2013,CT,84.14,48.661955,122.375,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2014,CT,255.79143,163.26326110714288,353.3053404285714,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2015,CT,229.2092225,179.02138315625,273.724334875,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2016,CT,153.22589,117.8529111111111,204.96065888888887,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2017,CT,595.055,408.46116445,813.2927442999999,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2020,CT,41.50876,41.50876,41.50876,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2021,CT,70.70313,49.012800000000006,93.47979275,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2023,CT,412.13534,296.8113547857143,533.6016741428571,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2024,CT,225.719725,161.293475625,278.7369459821428,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2025,CT,551.085505,496.38078125,610.6587143749999,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2011,MT,101.62622333333331,74.98022166666667,125.34195908333336,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2012,MT,152.82133333333334,111.16562500000002,202.0887958333333,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2013,MT,100.647,91.0744,111.8592,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2014,MT,6.58817,2.823501428571429,14.117507142857145,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2015,MT,105.33368875,67.00306693750001,149.32624118749996,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2016,MT,20.6415,11.12841888888889,33.34319555555555,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2017,MT,192.42943,103.65603490000002,289.58048734999994,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2021,MT,62.78479,30.29868316666667,105.02602408333333,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2023,MT,461.21205,362.2496393214286,558.1908288214285,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2024,MT,394.081515,259.2035630178572,551.8368384642857,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2025,MT,672.65724,601.8485378214285,740.8097249464286,event_bootstrap_mean,event-bootstrap 95% confidence interval
Observed,observed_reference,2011,ST,149.45602,76.34611270833332,224.0441792916666,event_bootstrap_mean,event-bootstrap 95% confidence interval
