Year,Treatment,Analyte,mean,median,low,high,n_draws,point_total_mg
2018,CT,NOx,4271409.967814449,1145875.1017770914,536719.3817983601,20476240.98117564,2000,754086.582361185
2018,CT,NPOC,4681524.157297236,1252715.0313641143,600782.2678653438,23754031.091772508,2000,820515.988877408
2018,CT,OP,205286.55968662002,50113.22927963312,9419.45786979804,1657022.4741470644,2000,17131.024397175937
2018,CT,Se,205111.8629219051,48651.708748167366,7798.917853492339,1668873.7650435274,2000,14199.341017394665
2018,CT,TDS,8550554.161205849,2275279.9376028324,1097769.0652187127,41454785.20853211,2000,1511222.7381212849
2018,CT,TKN,2526609.7139096376,690137.4897988148,318112.7923062213,13093379.24287276,2000,446810.0740392419
2018,CT,TN,2561659.952886714,662203.4133647206,301209.03788137663,12837613.699427629,2000,424080.4956644999
2018,CT,TP,559302.639220511,144585.48774669314,56129.60630723393,2938524.6633149385,2000,84615.78947892149
2018,CT,TSP,369440.6756100918,86433.42105133648,25355.175866312085,2843277.8266502973,2000,44626.007501432374
2018,CT,TSS,394148121.9691601,102844125.46409446,49294569.25190064,1887072338.4825096,2000,68513408.31336613
2018,MT,ICP,189018.1510465145,43972.333547445196,8227.19276937639,1676078.380114384,2000,14574.984009450072
2018,MT,NH4,187285.12885166693,42498.90908354925,8186.379801340431,1557613.258895127,2000,14125.724186936943
2018,MT,NO2,328053.49329116975,87131.62925963261,24945.68907490156,2087505.337788673,2000,43333.073458811115
2018,MT,NO3,3083023.9155670227,805154.8641884514,376206.52998155536,15482436.699133933,2000,522394.65316330123
2018,MT,NOx,2456929.6996942386,634955.5082907451,302965.4737622719,12575634.459606474,2000,419063.242979346
2018,MT,NPOC,2643342.908711435,681057.4845963246,320423.646161188,13242606.829976572,2000,454367.87142497435
2018,MT,OP,214593.10416521845,48323.41063239647,8748.005927979928,1794120.1575915564,2000,17993.1415474195
2018,MT,Se,177605.90597182303,37405.594467564806,5674.982376522132,1549717.3400287002,2000,10258.891801077882
2018,MT,TDS,4656458.925674698,1246466.928676675,585476.9849230576,22482436.929100163,2000,822884.5304883337
