Year,Treatment,Analyte,mean,median,low,high,n_draws
2012,MT,NO3,1920685.231730501,1797342.877025453,632063.1205928702,3944493.879886784,2000
2012,MT,OP,137366.26634185578,115824.02004211357,20169.54739321181,354198.6196054576,2000
2012,MT,TN,1664183.8758948843,1542374.1205886137,574225.304982006,3434606.1574120345,2000
2012,MT,TP,251162.94647579594,224325.93363552174,54532.78513614662,585610.457328455,2000
2012,MT,TSS,268036290.63465625,259120751.66524357,127558834.22704251,471636423.35742116,2000
2012,ST,ICP,112830.81225317545,94302.1999215566,13794.228766193683,306504.179910499,2000
2012,ST,NO3,1641956.2846137655,1507778.427114859,502347.0917903308,3500322.005160132,2000
2012,ST,OP,91063.93981570056,73165.67598311126,7351.588124293823,259782.05664430678,2000
2012,ST,TN,1110216.692917651,1019723.7691760386,318039.99328043975,2553713.3799644383,2000
2012,ST,TP,173101.2800994193,145969.90994727326,27385.263774528135,454874.7647296825,2000
2012,ST,TSS,209963306.4836185,202507321.91668797,98360195.8190697,360755653.806234,2000
2013,CT,ICP,311787.69587410934,126529.0376247344,510.15297014931525,1558712.6809970527,2000
2013,CT,NO3,5624759.05059507,4078474.1797753237,166829.42629899087,19078339.266702317,2000
2013,CT,TKN,1498540.2250554778,987432.5516958486,35857.92963402726,5587855.305063765,2000
2013,CT,TP,888329.8087556545,521380.0280525104,18787.641033347918,3572994.4614235256,2000
2013,CT,TSS,513096318.74998575,378341985.6082562,14123919.584518977,1682092139.3459039,2000
2013,MT,ICP,221305.12368642798,72456.75132591017,141.00765210790024,1122868.212849816,2000
2013,MT,NO3,3626568.8248458877,2406319.531642393,78868.81241366218,13569833.64334225,2000
2013,MT,TKN,992066.6987605895,571721.5927760615,19353.247974281145,4218233.2098709885,2000
2013,MT,TP,547729.3057978242,303117.3237979663,7068.069295784324,2277659.2919996004,2000
2013,MT,TSS,327215950.8305652,219050452.23573303,6922011.204918233,1219517720.6059165,2000
2013,ST,ICP,401070.55140839226,214906.1373661749,2227.4872462488775,1778786.4649406665,2000
2013,ST,NO3,7216923.16059567,5607968.228209537,312645.8808548179,23710919.112645306,2000
2013,ST,TKN,1957026.2237715037,1395131.007628924,75510.84312291945,6471694.875288656,2000
2013,ST,TP,1089078.8933166633,716561.8016195397,30902.970249312253,4156428.8733293377,2000
2013,ST,TSS,664831237.592149,520354586.3744644,28634555.880662262,2032167095.4490604,2000
2014,CT,NO3,1110067.5541323037,1017740.3523628551,309710.50420007104,2437053.611162489,2000
2014,CT,OP,93367.12785576485,73087.12157648872,11777.498837703335,270755.95101353177,2000
2014,CT,TKN,391266.64915109525,333995.95238440513,90112.1455591677,974172.2004373196,2000
2014,CT,TN,451989.3251341099,401420.4062780682,126210.34970931706,1066714.6737404168,2000
2014,CT,TP,193225.740221048,171640.45364036446,40769.60892290876,464879.7882308915,2000
2014,CT,TSP,77202.86599617853,59568.545553122894,4311.743997070491,242022.89041052316,2000
2014,CT,TSS,90485313.46572864,83212108.30510262,25894039.789943863,193804752.93182877,2000
2014,MT,NO3,324762.27447243093,165345.01883071894,19056.682412867667,1495909.856203862,2000
2014,MT,OP,38472.80156399772,20736.909342708066,711.277609374251,196374.4075728115,2000
2014,MT,TKN,90842.18391766996,39848.899889246786,2851.1732237655815,486590.60005093843,2000
2014,MT,TN,202193.3247201447,148009.1087590771,26691.663456749688,729180.2528430596,2000
2014,MT,TP,67501.28373839385,43611.49903798754,5073.432639686066,280147.86859719735,2000
2014,MT,TSP,22260.75370829171,5114.017252030522,0.0,148254.82774042353,2000
2014,MT,TSS,34139196.71355992,22311740.241084695,4231810.062277119,136520795.8031386,2000
2014,ST,NO3,1263571.7633442136,1142120.9132490489,395494.7430435017,2841631.434202953,2000
2014,ST,OP,99940.79133302915,80364.97298650912,12111.402101308327,288985.4718154819,2000
2014,ST,TKN,416156.49749685347,359511.23356260464,103265.19486006683,1046263.1040574594,2000
2014,ST,TN,461179.2685366358,415376.24865336996,135219.81459037695,1009251.0999295361,2000
2014,ST,TP,183336.60228394062,156112.5403512952,34789.595669274444,482346.0852155257,2000
2014,ST,TSP,79225.11942117257,59673.010591413266,4546.1014713346085,247301.0684923046,2000
2014,ST,TSS,91282219.7017164,83022833.1784369,27841467.719114166,198165823.2031417,2000
2015,CT,NH4,412918.16720383684,364799.8608702947,78421.03945812098,1003924.4336061926,2000
2015,CT,NO3,4475487.674643591,4230474.276968574,1212970.660073487,9314172.284447806,2000
2015,CT,OP,239765.41815720152,209064.38751899503,38826.36724876022,616081.2705776485,2000
2015,CT,TKN,1978835.340437325,1798142.6561949644,474287.71824656153,4376815.738218816,2000
2015,CT,TN,5475994.176834567,5125272.278541148,1420502.6585271133,11493524.393434847,2000
2015,CT,TP,828050.8367718598,747972.2307237138,169004.46455096267,2004664.7097401824,2000
2015,CT,TSP,258549.7615276698,208648.84847603395,16701.257370501462,792057.4236166596,2000
2015,CT,TSS,445805239.1229531,420414402.07673997,125443316.91890335,903827876.5425621,2000
2015,MT,NH4,175418.43820815103,150773.96790727734,31989.001765175482,456652.1705792871,2000
2015,MT,NO3,2756977.723602858,2536895.5276683853,728139.3904001827,5829531.8645543875,2000
2015,MT,OP,135698.49338124378,114440.78924271118,22562.872786769803,355908.70051690075,2000
2015,MT,TKN,649094.1942121955,573225.4993050491,150606.6644346322,1550424.8410505916,2000
2015,MT,TN,2209679.80102038,2045096.7229093905,587951.2415255101,4751692.006683145,2000
2015,MT,TP,357796.4846572863,307723.7550089909,70793.83232376532,926021.8854175047,2000
2015,MT,TSP,118082.84784498358,88508.94031706572,5852.774023853503,394766.63769081724,2000
2015,MT,TSS,82300359.39043915,77073233.68553834,24664323.26201931,174025048.52266824,2000
2015,ST,NH4,238743.05560899642,203767.58863547776,36894.659944300256,656307.3114974619,2000
2015,ST,NO3,3975744.378724518,3710640.887144647,1094434.6984285219,8382230.788541633,2000
2015,ST,OP,197511.54562734056,172357.43262404116,29437.17115105119,500881.06575300894,2000
2015,ST,TKN,916984.3085856887,806480.8593664384,197811.62429741412,2284726.3474498517,2000
2015,ST,TN,3051235.1634785836,2799440.7745049596,806005.221920961,6642494.743704292,2000
2015,ST,TP,487973.9920973627,435282.5837817772,91081.737412209,1223015.3083487642,2000
2015,ST,TSP,177866.11978065403,136292.24846082018,12929.877766427651,569229.291872518,2000
