Year,Treatment,Analyte,AnnualLoad_kg,n_physical_events,AnnualLoad_mg,central_estimate_type
2013,MT,Se,0.046485644860584895,14,46485.64486058489,sum_of_physical_event_point_loads
2013,MT,TDS,2.537245396982455,14,2537245.3969824547,sum_of_physical_event_point_loads
2013,MT,TKN,1.2801010566922433,14,1280101.0566922433,sum_of_physical_event_point_loads
2013,MT,TN,0.8079189237884001,14,807918.9237884001,sum_of_physical_event_point_loads
2013,MT,TP,0.19682658122661817,14,196826.58122661817,sum_of_physical_event_point_loads
2013,MT,TSP,0.06476206073604697,14,64762.06073604697,sum_of_physical_event_point_loads
2013,MT,TSS,208.63096405498035,14,208630964.05498037,sum_of_physical_event_point_loads
2013,ST,ICP,0.04581583502263689,14,45815.83502263689,sum_of_physical_event_point_loads
2013,ST,NH4,0.046559445655398234,14,46559.44565539823,sum_of_physical_event_point_loads
2013,ST,NO2,0.053014087109303054,14,53014.08710930305,sum_of_physical_event_point_loads
2013,ST,NO3,1.422852003525832,14,1422852.003525832,sum_of_physical_event_point_loads
2013,ST,NOx,0.9167222096877605,14,916722.2096877606,sum_of_physical_event_point_loads
2013,ST,NPOC,0.96272634034717,14,962726.34034717,sum_of_physical_event_point_loads
2013,ST,OP,0.04748064595737229,14,47480.64595737229,sum_of_physical_event_point_loads
2013,ST,Se,0.0299336829014153,14,29933.6829014153,sum_of_physical_event_point_loads
2013,ST,TDS,1.6750904094495311,14,1675090.4094495312,sum_of_physical_event_point_loads
2013,ST,TKN,0.931498229131404,14,931498.229131404,sum_of_physical_event_point_loads
2013,ST,TN,0.5740247655103464,14,574024.7655103464,sum_of_physical_event_point_loads
2013,ST,TP,0.13104329521766542,14,131043.29521766542,sum_of_physical_event_point_loads
2013,ST,TSP,0.046281273682040054,14,46281.27368204005,sum_of_physical_event_point_loads
2013,ST,TSS,111.5168891582488,14,111516889.1582488,sum_of_physical_event_point_loads
2014,CT,ICP,0.04345614593231303,10,43456.145932313026,sum_of_physical_event_point_loads
