Year,Treatment,Analyte,mean,median,low,high,n_draws
2015,CT,TKN,365730.50993322406,364692.16967648646,284078.5242932055,453105.61250725377,2000
2015,CT,TN,2105400.935545025,2088445.3201829651,1990320.7250498498,2283473.868206605,2000
2015,CT,TP,330172.87859212304,329635.00727922335,272167.380682529,391581.4326326356,2000
2015,CT,TSP,129568.91007775845,129214.38947713136,84672.97226740637,178885.3764615464,2000
2015,CT,TSS,432105001.413965,432105001.413965,432105001.413965,432105001.413965,2000
2015,MT,ICP,80249.16858873336,79972.5596814303,49803.4278471283,112352.59801303508,2000
2015,MT,NH4,34567.83342889865,33406.16487649517,13961.389497304413,59609.56926634706,2000
2015,MT,NO2,91928.66500744558,91170.44868003871,58639.569868711806,128144.16182434704,2000
2015,MT,NO3,972426.8719389928,964311.9387034811,845620.9258841656,1144222.158389382,2000
2015,MT,NOx,348875.3945262367,343828.61252862564,237438.2103762609,478128.1259056899,2000
2015,MT,NPOC,458182.7109474731,452163.5068166909,313553.2692142391,617581.9061907928,2000
2015,MT,OP,30068.285743225355,28561.863761137167,8464.253655529745,56487.3271697742,2000
2015,MT,Se,82464.57474900696,81868.84414245498,52970.313099090745,113791.59427229836,2000
2015,MT,TDS,679032.8838894899,672736.0934679054,477309.22525941214,905325.6885797775,2000
2015,MT,TKN,83727.75948212836,83041.6075014644,61747.958177146415,109735.81650693342,2000
2015,MT,TN,946335.9166668938,940928.2384080207,877540.3923414445,1039382.7436519862,2000
2015,MT,TP,69532.62974303668,68937.43351389396,51465.35277137747,89724.99460327528,2000
2015,MT,TSP,60516.13420252474,59821.55925078188,34812.51185569055,88330.69446298707,2000
2015,MT,TSS,38367305.92586,38367305.92586,38367305.92586,38367305.92586,2000
2015,ST,ICP,64349.89213321332,63778.20945048609,41267.218238432906,89189.59562071627,2000
2015,ST,NH4,28390.455428723864,27520.97249182193,11850.042655955964,48812.869761834634,2000
2015,ST,NO2,75448.13549858249,74533.72280734184,48424.669860706905,105290.43982218903,2000
2015,ST,NO3,798326.9319513765,791478.7068463761,696481.1412278877,930118.141680314,2000
2015,ST,NOx,267282.18432397663,265636.4922684309,178417.31744257914,370730.9361334318,2000
2015,ST,NPOC,351274.6349843028,348619.3966557012,241914.57148455255,474372.92391733034,2000
2015,ST,OP,26781.350046392196,26051.12390810393,9488.105364491883,47057.956291853654,2000
2015,ST,Se,67688.74562324682,67134.55304271445,44293.87500789943,94133.05495445941,2000
2015,ST,TDS,493834.24102081166,491271.8815064032,347074.6682972181,661979.7597476724,2000
2015,ST,TKN,63267.51593099964,63029.950238369405,47944.83101266766,80379.66488626285,2000
2015,ST,TN,779329.8357358245,775628.9947236008,721714.2661024757,853019.6631416713,2000
2015,ST,TP,50005.58705792912,49810.19504219096,35536.29925814749,65440.73249725267,2000
2015,ST,TSP,46086.61570385626,45747.24765577151,24912.71162140594,68625.16995888567,2000
2015,ST,TSS,12496549.623661622,12491064.158514103,12466488.932804389,12547571.811419522,2000
2016,CT,ICP,78505.99939764474,77680.77402062251,43095.82392031213,117845.59791394988,2000
2016,CT,NH4,24789.71592,24789.71592,24789.71592,24789.71592,2000
2016,CT,NO2,83034.98844593548,82417.06821282799,45258.15899496879,124117.17103541199,2000
2016,CT,NO3,761775.042905,761775.042905,761775.042905,761775.042905,2000
2016,CT,NOx,356793.725965764,352740.38688529213,208736.13249163423,529442.309558059,2000
2016,CT,NPOC,933138.8543075,933138.8543075,933138.8543075,933138.8543075,2000
2016,CT,OP,9186.59916,9186.59916,9186.59916,9186.59916,2000
2016,CT,Se,80878.90931483738,80073.97408188274,44919.17772124112,120530.04798027148,2000
2016,CT,TDS,926379.481288192,915911.3110883038,620208.7587835907,1298219.8335974507,2000
2016,CT,TKN,17070.055675,17070.055675,17070.055675,17070.055675,2000
2016,CT,TN,722168.1058749999,722168.1058749999,722168.1058749999,722168.1058749999,2000
2016,CT,TP,2253.9712799999998,2253.9712799999998,2253.9712799999998,2253.9712799999998,2000
2016,CT,TSP,871.5748245,871.5748245,871.5748245,871.5748245,2000
2016,CT,TSS,165913823.20519,165913823.20519,165913823.20519,165913823.20519,2000
2016,MT,ICP,10306.297778573882,10269.8024164503,5365.672392507549,15837.069911078024,2000
2016,MT,NH4,1767.2101499999999,1767.2101499999999,1767.2101499999999,1767.2101499999999,2000
2016,MT,NO2,11434.951427525877,11388.551475232738,5592.526618584419,17392.443174212243,2000
2016,MT,NO3,103299.33254999999,103299.33254999999,103299.33254999999,103299.33254999999,2000
2016,MT,NOx,40102.85600648585,39449.60122172924,21283.80999610822,62247.10669356424,2000
2016,MT,NPOC,137852.1171595,137852.1171595,137852.1171595,137852.1171595,2000
2016,MT,OP,667.228595,667.228595,667.228595,667.228595,2000
2016,MT,Se,10390.459064808443,10376.679063363707,5449.999655000832,15935.861818895875,2000
2016,MT,TDS,82833.64929984283,82165.76460120387,49770.105680840956,119536.92083703227,2000
2016,MT,TKN,2355.697065,2355.697065,2355.697065,2355.697065,2000
2016,MT,TN,98638.46368,98638.46368,98638.46368,98638.46368,2000
2016,MT,TP,1148.53964,1148.53964,1148.53964,1148.53964,2000
2016,MT,TSP,171.42642,171.42642,171.42642,171.42642,2000
2016,MT,TSS,5004839.609575,5004839.609575,5004839.609575,5004839.609575,2000
2016,ST,ICP,38628.052029419014,38624.80285342969,19891.50805057976,57873.34009987373,2000
