Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
TDS,MT,ML,3,529320655.8801872,666696914.0122446,0.4473540879358155,0.4222193844637731,0.0,39579927.198058605,,1290964438.0883596,0.8662380260364966,1490311437.8333333
TDS,ST,Bayes,3,321681648.3807757,329111806.777507,0.209642599870338,0.8426784684046644,0.0,130830157.22071044,0.95,302135020.8581124,0.1924585201143943,1569870851.54
TDS,ST,ML,3,189074582.33430925,250742717.58565593,0.15972187606368018,0.6420173475014472,0.0,27197343.321838856,,1324831657.7723553,0.8439112405155699,1569870851.54
TKN,CT,Bayes,10,1255824.0860709972,1486724.4770386936,1.0719596637595552,0.2796226093440454,0.2,969031.0047486266,0.95,1116513.3564108708,0.8050296477967384,1386922.033824
TKN,CT,ML,10,985627.1295238169,1258236.4382581504,0.9072149750112198,0.23664866050923644,0.1,436267.4804683233,,834213.9228951908,0.6014858099810477,1386922.033824
TKN,MT,Bayes,9,796698.5805333857,996906.9929332698,0.9032211528129035,0.15003933273801806,0.2222222222222222,742679.9563090336,0.95,698292.5506371735,0.6326694536783019,1103724.143116667
TKN,MT,ML,9,785091.0081575126,1166480.6535497117,1.0568588725945913,0.17556099029402752,0.1111111111111111,357741.36780847685,,596386.1081054623,0.5403398229755154,1103724.143116667
TKN,ST,Bayes,10,663701.3242110254,890231.1873687649,0.9413535671486492,0.22289257262238968,0.4,814824.9117569847,0.95,572035.5517102865,0.6048852419222911,945692.690224
TKN,ST,ML,10,457898.30498214456,698654.6773745394,0.738775592321702,0.17492640184281708,0.1,175935.68168293918,,366664.5196104054,0.3877205813270651,945692.690224
TN,CT,Bayes,5,1571757.9062383177,1769600.9590728593,0.6772528195050019,0.2623857644771696,0.4,2164946.491433545,0.95,1274500.2063043185,0.48777033813970033,2612910.434786
TN,CT,ML,5,405585.75456893776,483532.7846433399,0.18505524651974598,0.0716953269594118,0.0,474577.0191379784,,4908983.143271165,1.878741451646128,2612910.434786
TN,MT,Bayes,5,1717858.2137490727,2230305.944909374,3.7788116233477753,1.335061991912113,0.2,2054444.1693674736,0.95,1547763.3479325739,2.6223783973265307,590213.582262
TN,MT,ML,5,383056.15899967944,451933.5187696176,0.7657118242477197,0.2705275772400511,0.2,345515.46098071826,,957230.3781652391,1.621837258466068,590213.582262
TN,ST,Bayes,5,1819805.24418002,2449787.9335707654,2.6414234506183356,1.5191276011486357,0.4,2448489.3721644254,0.95,1543913.496473745,1.6646866691712747,927449.9069800001
TN,ST,ML,5,277580.70726218994,322695.99716895533,0.34793900429590985,0.20010564562011363,0.2,268476.94558568613,,941942.0366097658,1.015625781533534,927449.9069800001
TP,CT,Bayes,12,446453.9582923029,587257.3767479816,0.8284705777789876,0.15703618168610586,0.75,1248867.65548918,0.95,326778.85730971803,0.46100173355084195,708845.1811075
TP,CT,ML,12,247240.15011482988,372944.898091964,0.5261302581041388,0.09972772602703145,0.08333333333333333,58417.69844079091,,388655.7152502203,0.5482942193991986,708845.1811075
TP,MT,Bayes,11,390364.1834310196,674171.4945030686,1.240598843020405,0.2166215894934146,0.9090909090909091,1061587.1179502078,0.95,309391.0174417734,0.5693360538212772,543424.2489390909
TP,MT,ML,11,899598.246515643,2434652.665410895,4.480206155989517,0.7822910558305814,0.0,58277.730416395534,,296683.2151326366,0.5459513735572923,543424.2489390909
TP,ST,Bayes,12,269276.34429522627,524017.77217644936,0.5667511861946057,0.08855592897845053,0.9166666666666666,1064680.525500374,0.95,220126.58136005083,0.23807780522520816,924599.3390766666
TP,ST,ML,12,279171.9702782506,734266.7244002868,0.7941458460629531,0.12408676833070517,0.0,12979.610803736621,,634063.5261799049,0.6857711220225404,924599.3390766666
TSP,CT,ML,3,50518.2431420683,73381.80361860193,1.709736554357245,0.8781330052850242,0.0,273.34735141296795,,85978.7501052048,2.0032351986991968,42919.947773
TSP,MT,ML,3,18234.08938727678,25941.51841292838,6.314688192845555,3.5841881084218907,0.3333333333333333,280.8442082446733,,19393.80587368597,4.720843052266004,4108.123413333334
TSP,ST,ML,3,18650.25015965175,29579.89626162055,6.806701439127559,2.6027985960265556,0.3333333333333333,131.9246999859412,,29168.276712585328,6.711982669595349,4345.70203
TSS,CT,Bayes,12,757676597.4509195,1058722115.0045244,0.8941565452153225,0.2283506690692145,0.4166666666666667,1048210532.7804114,0.95,633980556.1652125,0.5354359333770531,1184045590.975988
