Method,Scenario,Analyte,Draw,CT,MT,ComparisonTreatment,valid_percent_denominator,AbsoluteDifference_CT_minus_T_kg,PercentDifferenceRelativeToCT,TreatmentLowerThanCT,ST
BayesSensitivity,annual_draw_truncation_at_zero,NH4,561,0.3371910146840941,0.3113406527954461,MT,True,0.025850361888648032,7.666385153491292,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,562,0.3885351376125532,0.3977928490468661,MT,True,-0.00925771143431292,-2.382721802511643,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,565,0.20213886338090398,0.21181754772658454,MT,True,-0.00967868434568056,-4.788136325592352,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,566,0.45805949778699073,0.33554852153810344,MT,True,0.1225109762488873,26.745646982710966,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,567,0.6117668339209414,0.6604401764489702,MT,True,-0.048673342528028796,-7.956191775888074,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,569,0.31765051209643647,0.2296301790548824,MT,True,0.08802033304155407,27.709803601648755,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,572,0.34945668233533234,0.2980599546520032,MT,True,0.051396727683329146,14.70761049405539,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,574,0.13822696992555591,0.11573859041562437,MT,True,0.022488379509931544,16.269169122381093,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,575,0.33554358158182873,0.28547900083863254,MT,True,0.050064580743196196,14.920440589916927,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,576,0.21842604735202736,0.20798019705160053,MT,True,0.010445850300426829,4.782328127556933,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,583,0.23732922451994687,0.1845770414420131,MT,True,0.05275218307793378,22.227428242196993,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,585,0.31143289020566245,0.34151931199081104,MT,True,-0.030086421785148587,-9.660643667173455,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,588,0.1420008896156738,0.21829790358997525,MT,True,-0.07629701397430144,-53.729954918451384,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,590,0.20725786478877262,0.21025632159558044,MT,True,-0.0029984568068078254,-1.4467276355778877,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,595,0.24942407047455833,0.23388536535005097,MT,True,0.015538705124507363,6.229833830769889,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,596,0.2803560760798562,0.2518469344778332,MT,True,0.028509141602023003,10.168904487699601,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,598,0.37143095324955766,0.37519765435442093,MT,True,-0.003766701104863268,-1.0141053328779766,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,600,0.25559962108139356,0.21197169442370312,MT,True,0.04362792665769044,17.068854199825864,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,601,0.19168188195072122,0.2115452403198715,MT,True,-0.01986335836915029,-10.362668692003394,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,603,0.38241439904903446,0.33649704786667844,MT,True,0.045917351182356014,12.0072233934027,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,606,0.31939254732640526,0.27896646801858715,MT,True,0.04042607930781811,12.657176770785581,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,608,0.22496486664371204,0.22942633599691575,MT,True,-0.004461469353203712,-1.9831849389485163,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,609,0.2657489388823869,0.303857122825208,MT,True,-0.03810818394282112,-14.339919513163792,0.0,
