Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,ComparisonSeries
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,55.48182837392498,0.06265700476847214,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,105,1.422549888469645,0.47964593036346553,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,1.202298200196738,0.5760838066295272,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.9915794634411295,0.7826678102561088,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.2073964758094533,0.20890366936436955,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.191855535365103,0.21390028531454985,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,1.1927535862694683,0.21028201164698554,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,121,0.5227778471764539,0.5571606449961766,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.9378915216301171,1.016065024448634,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.4010416207985245,0.5553086881538704,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,132,684.7009064064139,0.5027020439870854,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,576.9179844554537,0.7176372048196574,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,376.6237199772132,0.48963576537343145,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,11853.97542314774,0.44277835812479227,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,13115.707929318618,0.45099441513338007,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,12408.006738632012,0.45328167614656406,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,10019.745488369068,0.4148905773481899,,ML full-record reconstruction
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.2734712014788606,2.5160548657419817,1.0,ML outer-LOYO validation
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.3458874837669112,1.244772297943439,1.0,ML outer-LOYO validation
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,2.7499681240420766,0.3916535039128716,0.952247191011236,ML outer-LOYO validation
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.2915691729775652,2.4069311487514935,1.0,ML outer-LOYO validation
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.15755714308157498,23.803020688723347,1.0,ML outer-LOYO validation
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,560.650835080488,0.633522218048255,0.6391752577319587,ML outer-LOYO validation
