Method,Scenario,Year,Outcome,ComparisonTreatment,mean,median,lower_95,upper_95,n_valid_percent_draws,n_total_draws,ct_annual_total_median,ct_annual_total_lower_95,ct_annual_total_upper_95,n_invalid_percent_draws,fraction_invalid_percent_draws,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval,definition
Bayes,model_only,2014,Runoff volume,ST,-36.67369834417985,-37.65264138947555,-62.63830872367135,-5.840009902428255,1500,1500,140463.6817566132,107198.17683247048,174627.3055503296,0,0.0,,-37.65264138947555,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,TN,MT,-50.38825329749749,-51.30461737437382,-78.03298795284759,-17.395586734034797,1500,1500,0.9433119725368315,0.5366526828846501,1.4147324454564318,0,0.0,,-51.30461737437382,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,TN,ST,-45.85273967104991,-47.3792750873842,-72.11656463588164,-13.943088295143825,1500,1500,0.9433119725368315,0.5366526828846501,1.4147324454564318,0,0.0,,-47.3792750873842,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,TP,MT,-26.711619460333882,-56.29722296588534,-100.0,207.43677415184365,1455,1500,0.05427171774805535,0.0,0.21631917707586473,45,0.03,,-56.29722296588534,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,TP,ST,-31.684181428488813,-57.83305261931257,-100.0,183.5150179754533,1455,1500,0.05427171774805535,0.0,0.21631917707586473,45,0.03,,-57.83305261931257,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,TSS,MT,-57.28017761671624,-77.77673232277489,-100.0,57.250920074906325,1482,1500,55.96620400426377,3.990868844090612,198.38428365747106,18,0.012,,-77.77673232277489,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,TSS,ST,-60.978983923662405,-80.08354887394998,-100.0,23.246711382764556,1482,1500,55.96620400426377,3.990868844090612,198.38428365747106,18,0.012,,-80.08354887394998,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,Runoff volume,MT,-37.11594380797429,-38.36737944175013,-59.081542078542775,-7.709337877206698,1500,1500,155616.9669009401,117072.6990516919,195147.03987937554,0,0.0,,-38.36737944175013,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,Runoff volume,ST,-40.583915079915904,-41.46016678807003,-63.26329398200553,-13.7453975123095,1500,1500,155616.9669009401,117072.6990516919,195147.03987937554,0,0.0,,-41.46016678807003,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,TN,MT,-39.51028590801687,-40.63799370935489,-61.61809070822884,-8.562978947586519,1500,1500,1.4067145330051267,0.9081816180189726,1.9808388614054144,0,0.0,,-40.63799370935489,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2015,TN,ST,-42.84014324728189,-44.15585431350385,-65.83924098035249,-14.830371615387904,1500,1500,1.4067145330051267,0.9081816180189726,1.9808388614054144,0,0.0,,-44.15585431350385,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
