PhysicalEventID,Year,Irrigation,Rep,Treatment,PredictedVolumeWithCompaction_L,PredictedVolumeWithoutCompaction_L,PairedPredictionDifference_L,PairedPredictionPercentDifference
PE_7024c3ae50e63fc3a67a,2025,S1,2,ST,30417.04704272938,29775.594552037648,641.4524906917322,2.154289445239089
PE_70d3cc17c47edebe68ad,2022,5,1,ST,13563.577588851347,13625.971580994417,-62.393992143070136,-0.4579049044113495
PE_739761594fff71774ab8,2025,S1,1,MT,16716.038697848922,16406.912182928205,309.12651492071745,1.884123663698104
PE_744bc567dc348be5d05b,2025,5,1,ST,65264.268850361055,62121.500836169915,3142.768014191137,4.9462322121565
PE_76eec8ae39fe2d6f5031,2025,3,2,ST,51247.9124511829,49896.87578482582,1351.0366663570821,2.710539459539126
PE_7751232195de561530b0,2023,5,2,MT,25600.717699464796,25184.777255178313,415.9404442864834,1.65155498526778
PE_7867ae6d3ac14e9063c3,2023,S1,2,MT,21144.56830764126,21207.66146999736,-63.09316235610095,-0.2975017422140547
PE_78a0e5a12037218db30c,2023,5,2,ST,36189.40991475379,35425.39834545659,764.0115692972031,2.156677426310973
PE_78a548d4e3eef2a21ea3,2021,5,1,ST,3550.3154165543788,3721.1244880369936,-170.80907148261485,-4.590254156552603
PE_7a793bda6ecab836d590,2024,4,1,MT,46232.6721287998,45679.728060048656,552.9440687511451,1.2104802113188327
PE_7b7021667404f4bf5ffe,2022,1,1,MT,12722.413762798444,12390.330440581538,332.0833222169058,2.6801813221158897
PE_7cf61966fec7c7b6adc5,2022,7,2,ST,9871.238213816756,9731.586584864148,139.651628952608,1.4350345417448447
PE_7d221972180d28e4f760,2025,4,2,MT,54864.01145191018,53109.9938995392,1754.0175523709768,3.302612980315547
PE_7f40423a8c9c7387079e,2022,1,2,MT,13707.044990083334,13511.635860496053,195.4091295872804,1.446228507079574
PE_7f8105e65bf5e18e6c6b,2025,7,2,MT,40042.55939406539,39049.275310737314,993.2840833280752,2.5285716639279254
PE_835c9b48606f6cdfa777,2021,3,1,ST,7251.072480921394,7555.235423826726,-304.1629429053319,-4.025856586097927
PE_8a47f8b2785e361a0f5c,2023,1,1,ST,31348.96955178511,30680.097805731773,668.8717460533371,2.180148675824547
PE_8d90127b55de039c6ab7,2023,4,1,MT,27503.227686372804,26859.65452159753,643.5731647752727,2.396058982284315
PE_8f51b688686d8bdc2f79,2023,1,2,ST,21458.03253723274,21020.103157536993,437.9293796957463,2.0833835895744492
PE_901ccaf6a3ac1105504f,2022,5,2,ST,13012.156413451008,12832.157809195383,179.99860425562474,1.4027150143574427
PE_912d046edf542edb9c36,2022,5,2,MT,13993.511760117084,13772.654926628285,220.85683348879866,1.6035893926434641
PE_99ec6d6affe898b0e8d2,2022,8,2,ST,11804.105376063108,11602.976521846547,201.12885421656028,1.7334246418396766
PE_9d88eac30a91208d302b,2023,2,2,MT,59592.61821182955,59451.91536439403,140.70284743551747,0.2366666348310536
PE_a033c0958b5b88a75684,2025,3,1,MT,54808.80998918155,52767.748411101726,2041.0615780798216,3.8698620764918275
PE_a36448d6fe89c398bac0,2025,6,2,MT,46396.006914493235,44576.52726706873,1819.4796474244977,4.008147606191139
