PhysicalEventID,Analyte,Year,Treatment,Observed_mg_L,n_source_observations,Method,Modeled_mg_L,central_estimate_type,resolution
PE_acc7ee117e759ece44f9,NO2,2023,MT,0.0,5,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_b6fd60d10e559978199b,NO2,2023,MT,0.0,5,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_bf74455b1a7c48461768,NO2,2023,MT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c4acde3ff39ca34f7f1d,NO2,2023,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_68d44a8c5ee2992c2c36,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_6f90d69c4aa146a04e18,NO2,2023,ST,0.166,1,Bayes,0.1749936336581766,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_78a0e5a12037218db30c,NO2,2023,ST,0.0,5,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_8a47f8b2785e361a0f5c,NO2,2023,ST,0.0,4,Bayes,0.0595921766567382,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_8f51b688686d8bdc2f79,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_ada3010827131318b4a5,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_bca2b67b03840bac2206,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c6f4076701513ce44077,NO2,2023,ST,0.209,1,Bayes,0.2153688588732416,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c9875bdbbfec951204a7,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_d0ce0a7aa7e876660808,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_dbd728d03c1d5af8f0ef,NO2,2023,ST,0.0,1,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_e29fdc102c9f799e8e4f,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_fc1529c70189a30552dd,NO2,2023,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_3a4478840ec05680e176,NO2,2024,CT,0.0505,4,Bayes,0.0520877516130224,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_828e337f2a8b9a9634d7,NO2,2024,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_87d4115bb68391b10daf,NO2,2024,CT,0.05,4,Bayes,0.0433980485226652,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a354768a3ad269a40a28,NO2,2024,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_add35a9103c77e144288,NO2,2024,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_dd4d0ea35e35c329e9d8,NO2,2024,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_e01f96101de9649fe0a8,NO2,2024,CT,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_f96a427e92fb0d6cf251,NO2,2024,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_02b42436b7981ca07571,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_7a793bda6ecab836d590,NO2,2024,MT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_ba059ebbc29b11d1a3be,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c488be01d5dbff565ef0,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c918bf0b868668efb5e3,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_cc030c89ee5b8a7462b6,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_d0a561512025e1d2770d,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_e582d3221277d02f35d9,NO2,2024,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_00b38906ec1907c7d0dc,NO2,2024,ST,0.1,4,Bayes,0.0765128938261939,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_30f71765b192fa672ac6,NO2,2024,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_47021952abc7ade62c23,NO2,2024,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_6dfbf6a0b565de5536dd,NO2,2024,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_d36d20c6bc7c067588be,NO2,2024,ST,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_dd553617c7d118d29861,NO2,2024,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_f0055d0fbf3bb2c0c279,NO2,2024,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
