Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
Bayes,model_only,2015,MT,96.71659043751932,64.17745671400179,131.32927264595696,posterior_mean,95% posterior credible interval
Bayes,model_only,2016,MT,28.99002525025459,9.72333150034626,49.74889821827525,posterior_mean,95% posterior credible interval
Bayes,model_only,2017,MT,123.35814452346112,89.16156933252238,157.05326796634716,posterior_mean,95% posterior credible interval
Bayes,model_only,2018,MT,138.09544749133943,69.72593818133242,221.78252317820437,posterior_mean,95% posterior credible interval
Bayes,model_only,2019,MT,30.39322733863872,12.263463559523958,48.79614977140827,posterior_mean,95% posterior credible interval
Bayes,model_only,2020,MT,117.23648954267692,70.13577794047032,164.25196574185742,posterior_mean,95% posterior credible interval
Bayes,model_only,2021,MT,105.25340490358114,61.83163317521733,156.5277166429837,posterior_mean,95% posterior credible interval
Bayes,model_only,2022,MT,348.6220631541965,292.9842121819963,406.1609253289428,posterior_mean,95% posterior credible interval
Bayes,model_only,2023,MT,343.68373375901143,294.7246378123604,387.9790646791809,posterior_mean,95% posterior credible interval
Bayes,model_only,2024,MT,222.0894644348292,188.270649237842,254.2898347545452,posterior_mean,95% posterior credible interval
Bayes,model_only,2025,MT,354.541543647706,309.3677611319728,400.5822376652093,posterior_mean,95% posterior credible interval
Bayes,model_only,2011,ST,117.58612881817668,79.53248352344788,157.3030927319125,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,ST,150.75475497891392,97.12579649354768,206.10958125118165,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,ST,153.12644736839596,111.27404925890336,195.17318466090225,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,ST,87.84864342343731,52.36812949678376,125.07971076250264,posterior_mean,95% posterior credible interval
Bayes,model_only,2015,ST,91.28967791768332,59.24246548257028,124.72599977103587,posterior_mean,95% posterior credible interval
Bayes,model_only,2016,ST,37.57850770124874,17.43548027315647,57.29861513574984,posterior_mean,95% posterior credible interval
Bayes,model_only,2017,ST,113.59245411294636,80.55120063849155,148.11868610823777,posterior_mean,95% posterior credible interval
Bayes,model_only,2018,ST,137.70021994865823,69.53119183530758,220.2645427961474,posterior_mean,95% posterior credible interval
Bayes,model_only,2019,ST,30.499458038559904,11.815024600310664,48.76174450819588,posterior_mean,95% posterior credible interval
Bayes,model_only,2020,ST,123.08480921329672,83.69069982112366,164.5236370206336,posterior_mean,95% posterior credible interval
Bayes,model_only,2021,ST,217.41111913122543,166.50209207216298,265.14735866621805,posterior_mean,95% posterior credible interval
Bayes,model_only,2022,ST,355.9346484343899,295.437954803243,415.5058751917449,posterior_mean,95% posterior credible interval
Bayes,model_only,2023,ST,318.98415810921296,270.3851484023513,365.6711679815499,posterior_mean,95% posterior credible interval
Bayes,model_only,2024,ST,213.17011209975337,184.043390533279,241.4982011407426,posterior_mean,95% posterior credible interval
Bayes,model_only,2025,ST,364.9841774683532,324.6575387111106,407.4037815171263,posterior_mean,95% posterior credible interval
ML,full_record_model_only,2011,CT,99.48497395885411,73.01462546812473,286.5125235435831,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2012,CT,102.77931752687489,82.55473845603674,253.23071553727533,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2013,CT,106.18248871543948,82.6530922364012,290.23973798642896,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2014,CT,81.72409135864113,58.18182165828154,242.0050092327767,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2015,CT,141.50624716132032,107.59663066023776,366.4295703930767,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2016,CT,80.7119220292473,41.31935800380235,340.59842466111974,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
ML,full_record_model_only,2017,CT,227.09308933691068,171.23322002874826,631.6181210486502,mean_of_replicate_annual_plot_volumes,95% Monte Carlo empirical calibration-residual prediction interval
