Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,ST,44,0.335,1.235,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,CT,121,3.82,0.550,95.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,MT,116,3.85,0.538,96.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,ST,119,3.39,0.487,98.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,CT,111,0.477,4.197,91.9%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,MT,112,0.471,3.346,95.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,ST,112,0.441,4.055,97.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,CT,33,0.115,15.657,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,MT,34,0.0881,14.129,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,ST,34,0.0818,12.980,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,CT,32,533,0.605,65.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,MT,32,540,0.607,65.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,ST,33,546,0.616,69.7%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,CT,105,4.76,1.606,79.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,MT,102,4.5,2.156,77.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,ST,106,6.01,2.363,74.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,CT,36,2.58,0.446,94.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,MT,34,2.83,0.507,82.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,ST,34,2.81,0.495,85.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,CT,121,1.09,1.167,87.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,MT,120,1.75,1.895,90.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,ST,120,1.1,1.523,86.7%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,CT,132,1.29e+03,0.944,53.8%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,MT,134,1.1e+03,1.368,60.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,ST,134,867,1.127,51.5%
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,2.57e+04,0.960,86.2%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,CT,111,2.58e+04,0.887,91.0%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,MT,101,2.76e+04,1.009,84.2%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,ST,121,2.39e+04,0.988,83.5%
