Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,MT,112,0.11272725383358168,0.7999146215580287,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,ST,112,0.08594102023771232,0.7899055653542143,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,CT,33,0.04071306157354606,5.547425706788141,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,MT,34,0.0393406368951941,6.307859723822681,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,ST,34,0.01659803689845168,2.6333796292457174,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,CT,32,142.40803079009854,0.16180719673631308,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,MT,32,45.82049218831579,0.051523499544103776,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,52.904759547281394,0.05974665702954334,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,105,1.4928013090413639,0.5033328381145368,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,1.0429199858573603,0.49971738738726174,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.8321867329518402,0.7200283014477364,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.0885735765446172,0.18834493811223815,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.2026539150950926,0.21583825215419042,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,1.1625011196075516,0.20494851307680056,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,121,0.5017620180469149,0.5347626168926805,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.9014706940720593,0.9766085114193884,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.39200427082710015,0.5427949771155333,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,132,668.1457541598322,0.4905473808414605,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,552.7577500784568,0.6875839155597268,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,385.5497362885868,0.5012401774073298,
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,11149.723807298882,0.41647263679156166,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,12704.102931795176,0.4368410384247463,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,11667.042815266592,0.42621323749867845,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,8969.403076852128,0.37139873715789723,
