model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p7p5,Bayes_Modeled,0.95,2013,TP,CT,14,14,529316.6620303735,510310.76171925507,548120.1838261477,0.09131113484495405,-1.0024716292888325,1.1175845502897142,48.38296373232747,-527.0300570007589,588.1768289052827
v1p7p5,Bayes_Modeled,0.95,2013,TP,MT,14,14,530394.9409272269,511212.9895132029,549845.1721979616,0.05303161439246521,-1.0085747963412521,1.115066969396594,28.148371552481084,-540.1426859010795,589.1222474375513
v1p7p5,Bayes_Modeled,0.95,2013,TP,ST,14,14,530394.9409272269,511212.9895132029,549845.1721979616,0.019964556467003288,-1.0725202363483648,1.061371733016097,10.639945827387963,-566.64106734015445,560.8228075316096
v1p7p5,Bayes_Modeled,0.95,2014,TP,CT,25,25,868504.5907395189,838188.7135409318,896156.248083592,0.8466991880283277,0.12118859391236456,1.5751140228424785,735.134760079833,106.0541391304506,1374.5940707749476
v1p7p5,Bayes_Modeled,0.95,2014,TP,MT,12,12,420239.79074494774,404238.65850803314,435882.1378474557,0.6821508380383984,-0.12616235265011708,1.5111388132392536,286.52293245724337,-52.80578227556225,635.7533801755767
v1p7p5,Bayes_Modeled,0.95,2014,TP,ST,24,24,840479.5814898955,808477.3170160663,871764.2756949114,0.6213368282281756,-0.11246420367843937,1.375994512025136,522.0255258206491,-94.30014720121912,1155.653779304646
v1p7p5,Bayes_Modeled,0.95,2015,TP,CT,22,22,736713.4582306716,707429.5827696186,766123.8051681116,1.1599989495569254,0.37555292499511994,2.030475475040839,854.3587415677091,279.4602593502593,1484.7511500260298
v1p7p5,Bayes_Modeled,0.95,2015,TP,MT,22,22,663212.8738700883,643746.4198096232,682088.885702594,0.48456327948824,-0.23841363474965704,1.2129922221115945,321.2380628906359,-156.20008782729911,800.3828795927878
v1p7p5,Bayes_Modeled,0.95,2015,TP,ST,22,22,638268.9983309784,618777.2114321459,657902.227886244,0.49459489756134584,-0.24357400958550482,1.2327552375594755,315.58715491831316,-156.7738252979529,790.2174106316936
v1p7p5,Bayes_Modeled,0.95,2016,TP,CT,8,8,187163.03710881085,166772.69689089007,208204.96619331813,0.04759013389417197,-0.8345871133157494,0.8980084389513807,8.88454546362182,-155.25238751198356,173.66331450747816
v1p7p5,Bayes_Modeled,0.95,2016,TP,MT,8,8,160351.60732064254,140590.8176639735,180667.78575734518,0.22806503071162587,-0.6490592167577869,1.1202011589395748,36.52750783601494,-106.26051351028559,177.77611820425957
v1p7p5,Bayes_Modeled,0.95,2016,TP,ST,8,8,158743.18933840803,139072.41388660885,179169.33296011243,0.22245419175375025,-0.6589216787717688,1.0729157700838292,35.27895251953865,-104.52921841152138,173.61338367889147
v1p7p5,Bayes_Modeled,0.95,2017,TP,CT,30,30,1102409.409365576,1058324.7820461805,1147790.3303570864,0.1735359456227833,-0.5138080006429215,0.8185102466273411,191.25155850542265,-567.7606851098299,911.0683413201214
v1p7p5,Bayes_Modeled,0.95,2017,TP,MT,24,24,737287.9241390408,712580.8451604936,761808.5074074061,0.03656025941116549,-0.5652319917814994,0.6126311842841043,26.947182964189558,-414.57726400566077,459.763577431911
v1p7p5,Bayes_Modeled,0.95,2017,TP,ST,29,29,863734.9914341464,831582.2393220583,895096.1515611238,0.04398369844832123,-0.5646177173791702,0.6282289120699487,37.91856532178635,-487.0842624626917,544.1716623273898
v1p7p5,Bayes_Modeled,0.95,2018,TP,CT,10,10,407852.16695444816,241642.9350451919,593735.5285292328,2.167157017054007,-0.06718844180545439,4.76542100817183,890.8743480863775,-30.70134410802737,2254.7374672820597
v1p7p5,Bayes_Modeled,0.95,2018,TP,MT,10,10,393511.74158170546,230182.5128027414,578345.7216147027,1.7541267589902727,-0.5807444008938714,4.181053850167955,628.3681563338524,-215.65365657720002,1940.8883862680036
v1p7p5,Bayes_Modeled,0.95,2018,TP,ST,10,10,391657.6658188576,228351.76509474643,576634.6930927144,1.54376317592762,-0.647846063972512,4.217274490143562,616.7016651021582,-227.42378762975125,1888.7282891197365
v1p7p5,Bayes_Modeled,0.95,2019,TP,CT,2,2,99979.49913558539,96832.9200624211,103364.22931936994,1.6764029121552733,-0.4335401097787144,4.065567055742134,167.65678597835972,-43.972739794701354,411.31672037197967
v1p7p5,Bayes_Modeled,0.95,2019,TP,MT,2,2,99979.49913558539,96832.9200624211,103364.22931936994,1.7094699700807354,-0.44098742026318305,4.052377015593928,170.95477415211587,-43.74414770586242,406.6245845768061
v1p7p5,Bayes_Modeled,0.95,2019,TP,ST,2,2,99979.49913558539,96832.9200624211,103364.22931936994,1.6764029121552733,-0.4335401097787144,4.065567055742134,167.65678597835972,-43.972739794701354,411.31672037197967
v1p7p5,Bayes_Modeled,0.95,2020,TP,CT,20,20,701473.1163933577,674001.1013055473,728408.9912280403,0.13622188331876586,-0.5799611060164513,0.8491238367613954,95.57405760151529,-407.3789726350145,592.6835311428144
v1p7p5,Bayes_Modeled,0.95,2020,TP,MT,20,20,563451.9883930401,545704.738392833,581613.2463546302,0.7028999892899984,0.012559025415425995,1.4136239921154197,395.9997635742616,7.190720493861945,793.990036906797
v1p7p5,Bayes_Modeled,0.95,2020,TP,ST,20,20,568521.8600740697,549872.1241074887,587602.1696278194,0.5923533286898992,-0.08025581748069768,1.251105759875899,336.7111676645842,-45.345277782065,706.6727874690198
v1p7p5,Bayes_Modeled,0.95,2021,TP,CT,31,31,1032520.5882724116,988500.4123696837,1077340.5269219074,0.6235136872721851,-0.023785221393546066,1.2372729203716164,643.5937329919935,-24.564653844821535,1282.6534614637674
v1p7p5,Bayes_Modeled,0.95,2021,TP,MT,31,31,769258.2880327604,732612.5122229988,803928.6664518708,0.49647773149953506,-0.02440216473305998,1.0080287941847823,381.9904751106306,-18.74620397318563,778.7451085067921
v1p7p5,Bayes_Modeled,0.95,2021,TP,ST,29,29,755814.1966462459,726981.8280014532,783546.5301311755,0.5007488842364783,0.014419555834543693,0.9790323869739602,378.4645891747213,10.936259771791239,738.050966827207
v1p7p5,Bayes_Modeled,0.95,2022,TP,CT,45,45,1525820.4429228937,1476994.1639276224,1570027.1694300687,-0.09032733240786306,-0.5944728155107186,0.44098695446611286,-137.60048454019145,-900.5213322834212,676.0825477189356
v1p7p5,Bayes_Modeled,0.95,2022,TP,MT,47,47,1437561.019052759,1403509.394236192,1471686.0804883474,0.09212933359720828,-0.4056862424482137,0.5971229392685635,132.55669946788115,-584.3105966990455,859.3210077944141
v1p7p5,Bayes_Modeled,0.95,2022,TP,ST,47,47,1466106.2096899676,1430314.8299410962,1501053.3430364556,0.051229967779136354,-0.4246989260707701,0.5456692398792551,75.27431199161195,-618.4550979243805,798.6337882994243
v1p7p5,Bayes_Modeled,0.95,2023,TP,CT,45,45,1856950.7710707348,1809885.011926984,1903950.7348998,0.6015769828405484,0.19064391974162648,1.0403900284529015,1117.257047327035,361.0040483744955,1923.1180350151844
v1p7p5,Bayes_Modeled,0.95,2023,TP,MT,51,51,1988485.9737806336,1944283.544842708,2031269.7364780107,0.5545068368547116,0.138755966461779,0.965036906968092,1102.7162328688305,280.9157747679152,1921.8957523408753
v1p7p5,Bayes_Modeled,0.95,2023,TP,ST,45,45,1723272.1645905331,1687757.7462752818,1759592.6072103912,0.582848697246125,0.15369360858961045,1.0112021872775545,1004.433094868309,263.95276865619894,1751.5467193052614
v1p7p5,Bayes_Modeled,0.95,2024,TP,CT,32,32,1599671.9861693662,1549326.7209987375,1653827.669109919,0.8188208391694367,0.25351513528312464,1.3947289636190594,1309.9918563828737,403.6989821320344,2225.583674892793
v1p7p5,Bayes_Modeled,0.95,2024,TP,MT,32,32,1599671.9861693662,1549326.7209987375,1653827.669109919,0.8393329208528322,0.26953666712504526,1.4139241042261417,1342.8112902699866,436.6979227235109,2266.31312712839
v1p7p5,Bayes_Modeled,0.95,2024,TP,ST,32,32,1599671.9861693662,1549326.7209987375,1653827.669109919,0.828780013141663,0.2585860787843622,1.403301516657836,1325.922395546284,418.7261504888329,2242.458451725021
v1p7p5,Bayes_Modeled,0.95,2025,TP,CT,58,58,1991584.418673948,1923628.8667386272,2054672.7996439342,2.61849264719075,2.129740007132595,3.080590332796109,5214.818212618914,4208.021544379977,6163.878128885508
v1p7p5,Bayes_Modeled,0.95,2025,TP,MT,58,58,1638291.205663365,1595258.2480229684,1682780.808068134,3.1161330763775723,2.696841323866877,3.5268458383318815,5105.230191848428,4406.942797722425,5807.790475189871
v1p7p5,Bayes_Modeled,0.95,2025,TP,ST,58,58,1715681.728742029,1675334.191210879,1753537.271831577,3.184310074562789,2.7858287150707017,3.5860694896126892,5463.220127154124,4774.854789560719,6174.590883245014
