iter	Passed	Remaining
1075	46516	83175
1076	46560	83134
1077	46603	83090
1078	46664	83079
1079	46707	83035
1080	46774	83035
1081	46819	82993
1082	46864	82953
1083	46915	82925
1084	46963	82889
1085	47005	82843
1086	47047	82798
1087	47108	82787
1088	47154	82747
1089	47191	82694
1090	47236	82653
1091	47280	82611
1092	47320	82562
1093	47362	82516
1094	47402	82467
1095	47441	82416
1096	47512	82421
1097	47564	82392
1098	47607	82349
1099	47651	82307
1100	47696	82266
1101	47743	82228
1102	47788	82189
1103	47831	82146
1104	47878	82108
1105	47918	82059
1106	47967	82025
1107	48008	81977
1108	48050	81933
1109	48088	81881
1110	48133	81840
1111	48176	81795
1112	48219	81752
1113	48261	81705
1114	48299	81654
1115	48339	81605
1116	48383	81562
1117	48428	81523
1118	48477	81488
1119	48518	81442
1120	48561	81398
1121	48601	81348
1122	48649	81312
1123	48695	81274
1124	48737	81229
1125	48802	81222
1126	48847	81181
1127	48904	81160
1128	48948	81118
1129	48992	81076
1130	49048	81053
1131	49092	81011
1132	49137	80970
1133	49178	80923
1134	49219	80876
1135	49264	80835
1136	49309	80794
1137	49354	80754
1138	49397	80710
1139	49436	80660
1140	49486	80626
1141	49531	80585
1142	49578	80548
1143	49620	80502
1144	49658	80450
1145	49699	80403
1146	49740	80356
1147	49785	80315
1148	49828	80272
1149	49869	80225
1150	49912	80181
1151	49952	80131
1152	49990	80080
1153	50031	80032
1154	50070	79983
1155	50107	79929
1156	50146	79878
1157	50184	79827
1158	50223	79776
1159	50262	79727
1160	50307	79686
1161	50351	79643
1162	50389	79592
1163	50434	79551
1164	50478	79508
1165	50517	79459
1166	50561	79416
1167	50604	79372
1168	50652	79337
1169	50699	79299
1170	50738	79249
1171	50779	79202
1172	50818	79151
1173	50856	79100
1174	50896	79052
1175	50937	79005
1176	50976	78955
1177	51019	78910
1178	51062	78866
1179	51104	78821
1180	51148	78780
1181	51193	78738
1182	51237	78697
1183	51269	78636
1184	51308	78586
1185	51348	78538
1186	51397	78504
1187	51451	78475
1188	51514	78462
1189	51558	78420
1190	51601	78377
1191	51652	78345
1192	51698	78305
1193	51739	78258
1194	51776	78206
1195	51819	78162
1196	51857	78111
1197	51935	78120
1198	51979	78077
1199	52023	78035
1200	52069	77996
1201	52108	77946
1202	52174	77937
1203	52214	77888
1204	52256	77842
1205	52300	77800
1206	52342	77755
1207	52384	77709
1208	52440	77684
1209	52502	77668
1210	52546	77625
1211	52590	77583
1212	52633	77540
1213	52675	77494
1214	52719	77451
1215	52761	77407
1216	52808	77368
1217	52850	77323
1218	52890	77275
1219	52931	77227
1220	52972	77181
1221	53016	77138
1222	53066	77104
1223	53110	77062
1224	53157	77023
1225	53196	76974
1226	53235	76924
1227	53278	76880
1228	53350	76878
1229	53394	76835
1230	53440	76796
1231	53491	76763
1232	53538	76725
1233	53578	76676
1234	53620	76631
1235	53670	76598
1236	53712	76551
1237	53756	76509
1238	53798	76463
1239	53842	76421
1240	53882	76373
1241	53924	76328
1242	53964	76280
1243	54008	76237
1244	54083	76238
1245	54130	76200
1246	54170	76150
1247	54212	76105
1248	54254	76061
1249	54296	76015
1250	54336	75967
1251	54392	75940
1252	54434	75896
1253	54475	75848
1254	54538	75832
1255	54580	75786
1256	54628	75750
1257	54673	75708
1258	54716	75664
1259	54761	75623
1260	54809	75586
1261	54852	75541
1262	54892	75493
1263	54959	75482
1264	55010	75448
1265	55061	75415
1266	55102	75368
1267	55140	75318
1268	55183	75274
1269	55222	75224
1270	55260	75173
1271	55307	75134
1272	55380	75131
1273	55447	75118
1274	55528	75126
1275	55573	75085
1276	55617	75042
1277	55660	74998
1278	55708	74960
1279	55750	74914
1280	55790	74866
1281	55836	74825
1282	55882	74785
1283	55922	74737
1284	55968	74697
1285	56015	74657
1286	56055	74610
1287	56096	74563
1288	56136	74515
1289	56176	74466
1290	56216	74418
1291	56255	74369
1292	56297	74323
1293	56358	74303
1294	56404	74262
1295	56455	74228
1296	56497	74182
1297	56543	74143
1298	56585	74097
1299	56630	74054
1300	56681	74021
1301	56716	73966
1302	56754	73915
1303	56794	73867
1304	56837	73822
1305	56885	73785
1306	56924	73736
1307	56964	73688
1308	57008	73645
1309	57050	73600
1310	57096	73558
1311	57140	73515
1312	57179	73467
1313	57220	73420
1314	57261	73373
1315	57301	73324
1316	57345	73282
1317	57390	73239
1318	57435	73198
1319	57475	73151
1320	57516	73104
1321	57557	73057
1322	57596	73008
1323	57638	72962
1324	57679	72916
1325	57725	72875
1326	57765	72827
1327	57805	72778
1328	57845	72730
1329	57884	72681
1330	57932	72643
1331	57973	72597
1332	58015	72552
1333	58059	72509
1334	58101	72463
1335	58149	72425
1336	58193	72383
1337	58235	72336
1338	58278	72293
1339	58331	72261
1340	58371	72214
1341	58426	72183
1342	58468	72138
1343	58508	72091
1344	58547	72042
1345	58592	72000
1346	58631	71950
1347	58675	71907
1348	58713	71857
1349	58786	71849
1350	58830	71807
1351	58875	71765
1352	58915	71717
1353	58958	71673
1354	59001	71629
1355	59043	71583
1356	59085	71538
1357	59129	71495
1358	59171	71450
1359	59211	71402
1360	59254	71358
1361	59297	71313
1362	59338	71267
1363	59381	71223
1364	59444	71202
1365	59489	71161
1366	59531	71116
1367	59574	71070
1368	59618	71028
1369	59665	70989
1370	59710	70947
1371	59755	70905
1372	59801	70864
1373	59843	70818
1374	59886	70774
1375	59937	70740
1376	59978	70693
1377	60019	70647
1378	60064	70604
1379	60106	70560
1380	60147	70512
1381	60191	70470
1382	60260	70456
1383	60304	70413
1384	60347	70369
1385	60396	70332
1386	60435	70283
1387	60476	70235
1388	60516	70188
1389	60560	70145
1390	60605	70103
1391	60664	70077
1392	60708	70034
1393	60752	69991
1394	60796	69948
1395	60840	69905
1396	60886	69865
1397	60929	69820
1398	60974	69778
1399	61015	69731
1400	61062	69691
1401	61106	69648
1402	61148	69603
1403	61190	69558
1404	61234	69515
1405	61279	69473
1406	61323	69430
1407	61364	69383
1408	61418	69352
1409	61461	69307
1410	61506	69265
1411	61554	69227
1412	61594	69179
1413	61634	69131
1414	61675	69085
1415	61718	69040
1416	61760	68995
1417	61800	68948
1418	61846	68907
1419	61887	68860
