variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,probability_positive,parameter_family,parameter_index,analyte,rhat_threshold,rhat_status
gamma_PCr_res[2],-0.0314985043677,-0.01607105,1.6442198076532102,1.207244115,-2.6576269999999993,2.569371499999999,1.0039116944472608,1208.8117293270698,1168.0878486658225,0.48925,gamma_PCr_res,2,NA,1.04,at_or_below_1.04
gamma_PCr_res[3],0.92460225125675,0.8722175000000001,0.6984296554416478,0.6941221853999999,-0.09531975,2.140157,1.0025647675473515,1115.6976565410368,1543.1543105556098,0.92325,gamma_PCr_res,3,NA,1.04,at_or_below_1.04
gamma_PCr_res[4],-1.1549630750717501,-1.090355,0.9482634911546999,0.99934653,-2.7690355,0.21228874999999994,1.0066889143258342,577.677189031682,1747.3656282489824,0.1005,gamma_PCr_res,4,NA,1.04,at_or_below_1.04
gamma_PCr_res[5],-0.45842725749585,-0.44351050000000003,0.7374299457086462,0.7105659985199999,-1.6676009999999999,0.7461755499999997,1.0011555306546376,2118.027542049755,2293.0154267230596,0.25925,gamma_PCr_res,5,NA,1.04,at_or_below_1.04
sigma_PCr_res,1.4205455482,1.330935,0.721496957906917,0.6505337454,0.36112555000000013,2.7848129999999984,1.0034498796829432,504.4489934832363,340.2158921223531,1,sigma_PCr_res,NA,NA,1.04,at_or_below_1.04
sigma_res_obs,2.31521037,2.2896599999999996,0.2565002608470735,0.24472536900000003,1.9324095000000001,2.7776499999999995,1.0028715455282602,1169.3478333806288,2168.79583693963,1,sigma_res_obs,NA,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[1],-1.7837558453525,-1.68439,2.3018909465803805,2.2213573409999996,-5.735323999999999,1.8524509999999974,1.0019626293329593,2049.522078054595,2973.7574543448013,0.2155,RES_unit_miss_logit,1,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[2],-1.648975435539,-1.4940000000000002,2.4064069965745873,2.4064451249999994,-5.727792,2.120871,1.0026687764805473,847.0557332223576,1982.7517425636154,0.24975,RES_unit_miss_logit,2,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[3],0.24184947263925,0.178843,2.36832213795092,2.237184096,-3.5934615,4.2534484999999975,1.001789408317336,1164.1239782208202,2479.2354299141116,0.5325,RES_unit_miss_logit,3,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[4],0.7096115369375,0.712411,2.428350475979715,2.2869453411,-3.2740579999999997,4.661217999999999,1.000614099993839,1468.857823633577,2559.3146454971125,0.625,RES_unit_miss_logit,4,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[5],0.1998297712658625,0.120244,2.365525558583808,2.2626032729999994,-3.6653754999999997,4.187948,1.0030963384190175,999.7538206660175,2640.7170724064226,0.52125,RES_unit_miss_logit,5,NA,1.04,at_or_below_1.04
RES_unit_miss_logit[6],-0.09685197166625,-0.1935305,2.3275040576886017,2.1145130307,-3.8315255,4.0003424999999995,1.0020465705577681,1276.1588270807465,2582.508582388508,0.46175,RES_unit_miss_logit,6,NA,1.04,at_or_below_1.04
