Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
TDS,MT,ML,3,529320655.8801872,666696914.0122446,0.4473540879358155,0.4222193844637731,0.0,39579927.198058605,,1290964438.0883596,0.8662380260364966,1490311437.8333333
TDS,ST,Bayes,3,316920339.6470783,329424917.68172926,0.20984204997409342,0.8434801771607079,0.0,130996683.65496166,0.95,240566582.70190063,0.1532397282654885,1569870851.54
TDS,ST,ML,3,189074582.33430925,250742717.58565593,0.15972187606368018,0.6420173475014472,0.0,27197343.321838856,,1324831657.7723553,0.8439112405155699,1569870851.54
TKN,CT,Bayes,10,1229079.513317588,1465745.0149249819,1.0568330296719364,0.27567679959282954,0.2,983096.9848992372,0.95,1341708.633912546,0.967400186305504,1386922.033824
TKN,CT,ML,10,985627.1295238169,1258236.4382581504,0.9072149750112198,0.23664866050923644,0.1,436267.4804683233,,834213.9228951908,0.6014858099810477,1386922.033824
TKN,MT,Bayes,9,804095.1462177983,974263.4234514561,0.8827055469678838,0.146631365816388,0.2222222222222222,744407.8253999249,0.95,703596.8028948,0.6374752308199058,1103724.143116667
TKN,MT,ML,9,785091.0081575126,1166480.6535497117,1.0568588725945913,0.17556099029402752,0.1111111111111111,357741.36780847685,,596386.1081054623,0.5403398229755154,1103724.143116667
TKN,ST,Bayes,10,631288.777967484,864685.5504011686,0.9143409474766653,0.21649655681910762,0.4,820318.1855550506,0.95,854655.5124762284,0.9037349250037999,945692.690224
TKN,ST,ML,10,457898.30498214456,698654.6773745394,0.738775592321702,0.17492640184281708,0.1,175935.68168293918,,366664.5196104054,0.3877205813270651,945692.690224
TN,CT,Bayes,5,1661226.1774217938,1838239.2053397428,0.7035217054771709,0.2725630299373693,0.4,2233107.9899171228,0.95,1546656.328018493,0.5919285664857341,2612910.434786
TN,CT,ML,5,405585.75456893776,483532.7846433399,0.18505524651974598,0.0716953269594118,0.0,474577.0191379784,,4908983.143271165,1.878741451646128,2612910.434786
TN,MT,Bayes,5,1681977.5656996488,2202799.672066496,3.7322076927207304,1.3185967264647829,0.2,2084939.6787173103,0.95,1741933.2263843627,2.951360793339226,590213.582262
TN,MT,ML,5,383056.15899967944,451933.5187696176,0.7657118242477197,0.2705275772400511,0.2,345515.46098071826,,957230.3781652391,1.621837258466068,590213.582262
TN,ST,Bayes,5,1773439.2001298857,2392532.1273980336,2.5796887890028413,1.4836229461166246,0.4,2503160.39093799,0.95,1837684.6110336024,1.9814381318097765,927449.9069800001
TN,ST,ML,5,277580.70726218994,322695.99716895533,0.34793900429590985,0.20010564562011363,0.2,268476.94558568613,,941942.0366097658,1.015625781533534,927449.9069800001
TP,CT,Bayes,12,450090.0060085678,634431.4711915798,0.8950212092862702,0.1696508204445757,0.75,1228792.2821677458,0.95,445172.502279267,0.6280250104595891,708845.1811075
TP,CT,ML,12,247240.15011482988,372944.898091964,0.5261302581041388,0.09972772602703145,0.08333333333333333,58417.69844079091,,388655.7152502203,0.5482942193991986,708845.1811075
TP,MT,Bayes,11,407077.88740730454,720736.3243151838,1.3262866456957956,0.2315835799226092,0.9090909090909091,1044694.3567363196,0.95,453178.51241278986,0.8339313405640533,543424.2489390909
TP,MT,ML,11,899598.246515643,2434652.665410895,4.480206155989517,0.7822910558305814,0.0,58277.730416395534,,296683.2151326366,0.5459513735572923,543424.2489390909
TP,ST,Bayes,12,303063.22661100957,534628.99415996,0.5782277485660512,0.0903491632354557,0.9166666666666666,1048937.0968449463,0.95,247578.5907860025,0.2677685136929063,924599.3390766666
TP,ST,ML,12,279171.9702782506,734266.7244002868,0.7941458460629531,0.12408676833070517,0.0,12979.610803736621,,634063.5261799049,0.6857711220225404,924599.3390766666
TSP,CT,ML,3,50518.2431420683,73381.80361860193,1.709736554357245,0.8781330052850242,0.0,273.34735141296795,,85978.7501052048,2.0032351986991968,42919.947773
TSP,MT,ML,3,18234.08938727678,25941.51841292838,6.314688192845555,3.5841881084218907,0.3333333333333333,280.8442082446733,,19393.80587368597,4.720843052266004,4108.123413333334
TSP,ST,ML,3,18650.25015965175,29579.89626162055,6.806701439127559,2.6027985960265556,0.3333333333333333,131.9246999859412,,29168.276712585328,6.711982669595349,4345.70203
TSS,CT,Bayes,12,766524417.0394388,1069886601.3858428,0.9035856469884356,0.23075868331474417,0.4166666666666667,1047717591.703957,0.95,747864033.7519933,0.6316175993996499,1184045590.975988
