method,sensitivity_variant,analyte,treatment,first_included_year,last_included_year,n_included_years,missing_years,n_draws,mean_cumulative_load_kg,median_cumulative_load_kg,lower_95_raw_kg,lower_95_display_kg,upper_95_kg,interval_probability,n_input_annual_draws,n_input_annual_draws_below_zero,fraction_input_annual_draws_below_zero,n_cumulative_draws_below_zero,fraction_cumulative_draws_below_zero,source_file,source_units,output_units,conversion_factor_to_kg,provisional_qc_flag,provisional_qc_reason
ML,saved_imputed_row_draws,NO3,MT,2011,2025,15,None,2000,57.232389444842724,57.234213387145175,52.92332880403677,52.92332880403677,61.74626402645144,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,NO3,ST,2011,2025,15,None,2000,50.01497401829065,49.97097820064509,47.302892901345174,47.302892901345174,53.12530320186866,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,OP,CT,2011,2025,15,None,400,1.9016729853189758,1.879204385651196,1.473312051284521,1.473312051284521,2.3747273817895325,0.95,6000,762,0.127,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,OP,MT,2011,2025,15,None,400,1.8139493604169175,1.802246141041043,1.4965527236308318,1.4965527236308318,2.1704479362604436,0.95,6000,699,0.1165,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,OP,ST,2011,2025,15,None,400,1.8421813445102675,1.8241782823298238,1.529063559488618,1.529063559488618,2.1975916412023437,0.95,6000,682,0.11366666666666667,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,OP,CT,2011,2025,15,None,400,1.7995636894856544,1.7827801019417593,1.2707046828429338,1.2707046828429338,2.3138269004942793,0.95,6000,762,0.127,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,OP,MT,2011,2025,15,None,400,1.7347323879747905,1.7274381390854097,1.3743003974611705,1.3743003974611705,2.110849364595642,0.95,6000,699,0.1165,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,OP,ST,2011,2025,15,None,400,1.7593225229757143,1.7476324620028323,1.3864192986888029,1.3864192986888029,2.146462575645737,0.95,6000,682,0.11366666666666667,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,OP,CT,2011,2025,15,None,2000,3.241178158141586,3.225058240579613,2.8688640377814,2.8688640377814,3.6696510818838037,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,OP,MT,2011,2025,15,None,2000,3.356071323480069,3.339599880733589,2.9154501012860563,2.9154501012860563,3.8714569799343987,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
