method,sensitivity_variant,analyte,reference_treatment,comparison_treatment,n_aligned_draws,n_finite_absolute_difference_draws,n_valid_percent_draws,fraction_valid_percent_draws,n_invalid_missing_or_nonfinite_ct_draws,n_invalid_zero_ct_draws,n_invalid_negative_ct_draws,n_invalid_tiny_positive_ct_draws,ct_tiny_threshold_kg,mean_absolute_difference_kg,median_absolute_difference_kg,lower_95_absolute_difference_kg,upper_95_absolute_difference_kg,mean_percent_difference_relative_to_ct,median_percent_difference_relative_to_ct,lower_95_percent_difference_relative_to_ct,upper_95_percent_difference_relative_to_ct,probability_treatment_load_lower_than_ct,percent_difference_formula,provisional_qc_flag,provisional_qc_reason
Bayes,annual_draw_truncation,Se,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.01658855085549771,0.016419288116547498,0.010202529769041482,0.023672127439062593,18.262926946485706,18.245252420411965,12.318891294271346,24.442735651254903,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,Se,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,0.014304471884144934,0.014112025037050085,0.007985420026973231,0.021010637340632014,15.73423990088586,15.683741788921036,9.72692371023148,21.906953700119157,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,Se,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,0.016588587237351345,0.016419288116547498,0.010202529769041482,0.023672127439062593,18.2629699416517,18.245252420411965,12.318891294271346,24.442735651254903,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,Se,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,0.014304542125091508,0.014112025037050085,0.007985420026973231,0.021010637340632014,15.734322909882275,15.683741788921036,9.72692371023148,21.939327208720087,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,Se,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,0.32242129216407206,0.3145831988443786,-0.8881854203255307,1.538220806210642,4.221081159570702,4.415044161615454,-13.66733198078087,20.34038230396091,0.7035,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,Se,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,1.2777021514028353,1.273097885013124,0.26642608535664347,2.360017943393692,17.704087461107658,18.067849509627976,4.039235157211299,30.43286823887252,0.9965,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TDS,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,1336.2326169744367,1291.066041267928,399.0698773729993,2320.0436011838565,10.631082037281926,10.594626435363338,3.4304029825763385,17.41901531142637,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TDS,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,1140.9084898511057,1100.492193568186,289.7208886063263,2101.9121372332493,9.074895521003535,9.075864486211355,2.607535228466854,15.992694918476428,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TDS,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,1336.2326169744367,1291.066041267928,399.0698773729993,2320.0436011838565,10.631082037281926,10.594626435363338,3.4304029825763385,17.41901531142637,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
Bayes,raw_draws_bound_floor,TDS,CT,ST,400,400,400,1.0,0,0,0,0,1e-12,1140.9084898511057,1100.492193568186,289.7208886063263,2101.9121372332493,9.074895521003535,9.075864486211355,2.607535228466854,15.992694918476428,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TDS,CT,MT,2000,2000,2000,1.0,0,0,0,0,1e-12,-1344.8600018114053,-1338.8992685940602,-2172.3767891189773,-546.3346292652859,-25.13695721800705,-24.817614793810534,-42.273045728020776,-9.285757845967197,0.0,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
ML,saved_imputed_row_draws,TDS,CT,ST,2000,2000,2000,1.0,0,0,0,0,1e-12,-185.40707550441195,-203.0570231773686,-788.2428924117232,456.936352576218,-3.6699449986495583,-3.7218266162387854,-15.611149264402329,7.817551106784388,0.279,100 * (CT - T) / CT,True,Saved imputed rows contain repeated analyte-event rows; see postprocessing_validation_report.md.
Bayes,annual_draw_truncation,TKN,CT,MT,400,400,400,1.0,0,0,0,0,1e-12,7.603233094956779,7.605395517944515,4.079078249945597,11.188442468147993,30.237444549422253,30.428033758194402,18.026745183693976,41.390511870920186,1.0,100 * (CT - T) / CT,True,Unresolved upstream physical-event aggregation; see postprocessing_validation_report.md.
